Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-06,750.1,760.0,692.55,713.65,16614143,EQ,392413.0,42.34,9331530.0
2025-11-07,714.0,727.0,702.2,706.95,1427316,EQ,47342.0,30.15,517517.0
2025-11-10,704.95,708.95,672.05,675.4,1032335,EQ,52305.0,19.74,516581.0
2025-11-11,673.0,690.5,671.05,686.65,530962,EQ,26525.0,20.02,249596.0
2025-11-12,691.95,691.95,663.4,667.75,535229,EQ,22450.0,23.84,285150.0
2025-11-13,667.0,678.95,656.1,664.85,752964,EQ,29782.0,25.28,316999.0
2025-11-14,654.1,682.4,645.7,667.15,911209,EQ,40295.0,22.61,357124.0
2025-11-17,667.2,690.5,664.2,679.7,448303,EQ,25661.0,17.47,179833.0
2025-11-18,680.0,682.8,667.25,671.8,266069,EQ,15889.0,16.75,91133.0
2025-11-19,670.5,716.9,670.5,707.2,1777363,EQ,69394.0,25.61,519443.0
2025-11-20,714.25,714.25,675.0,678.7,420738,EQ,25415.0,16.55,136342.0
2025-11-21,678.7,679.95,662.55,666.6,295570,EQ,16566.0,17.84,124131.0
2025-11-24,670.0,670.3,645.0,648.75,253811,EQ,19618.0,12.94,125420.0
2025-11-25,651.9,658.0,642.0,655.55,151982,EQ,9955.0,15.27,46165.0
2025-11-26,657.9,667.8,655.65,661.35,140884,EQ,11713.0,12.03,52653.0
2025-11-27,663.95,667.8,656.0,657.7,130544,EQ,12167.0,10.73,52478.0
2025-11-28,663.7,666.5,646.5,648.35,169219,EQ,10206.0,16.58,73437.0
2025-12-01,648.35,653.0,625.8,632.45,231646,EQ,20721.0,11.18,118672.0
2025-12-02,632.6,636.2,618.0,620.15,192738,EQ,17594.0,10.95,83207.0
2025-12-03,615.1,617.55,602.3,610.85,274605,EQ,24010.0,11.44,142017.0
2025-12-04,615.0,625.0,603.05,618.8,324321,EQ,20884.0,15.53,143949.0
2025-12-05,618.7,633.2,616.1,630.85,190117,EQ,16031.0,11.86,92877.0
2025-12-08,625.95,625.95,605.0,609.3,168008,EQ,18607.0,9.03,83749.0
2025-12-09,609.0,618.85,597.2,613.7,211534,EQ,25114.0,8.42,111264.0
2025-12-10,615.0,618.5,612.15,615.0,189146,EQ,11314.0,16.72,144756.0
2025-12-11,615.1,623.0,615.1,622.2,131469,EQ,10654.0,12.34,89584.0
2025-12-12,621.95,626.3,621.0,624.65,46483,EQ,5362.0,8.67,32071.0
2025-12-15,623.7,624.0,608.4,611.2,106811,EQ,13014.0,8.21,54674.0
2025-12-16,611.75,616.0,609.05,614.4,71997,EQ,9506.0,7.57,42299.0
2025-12-17,627.0,627.0,601.0,606.05,114888,EQ,14539.0,7.9,41559.0
2025-12-18,606.05,606.9,591.1,598.6,135330,EQ,18739.0,7.22,66390.0
2025-12-19,597.0,601.25,587.05,596.65,160835,EQ,14601.0,11.02,68504.0
2025-12-22,599.6,611.9,594.05,606.4,173518,EQ,13682.0,12.68,104658.0
2025-12-23,610.0,615.9,598.1,609.6,150516,EQ,15410.0,9.77,63018.0
2025-12-24,609.4,615.5,609.0,612.0,227397,EQ,18141.0,12.53,176275.0
2025-12-26,619.0,619.0,600.0,604.05,208676,EQ,18153.0,11.5,127422.0
2025-12-29,605.0,637.95,604.05,624.1,458213,EQ,28314.0,16.18,188034.0
2025-12-30,624.1,632.65,614.1,628.65,193887,EQ,11034.0,17.57,120333.0
2025-12-31,623.5,636.85,623.5,634.95,248099,EQ,10674.0,23.24,187182.0
2026-01-01,633.3,638.5,630.2,633.5,58929,EQ,3720.0,15.84,28691.0
2026-01-02,635.0,641.75,625.75,635.4,81248,EQ,7585.0,10.71,46669.0
2026-01-05,630.0,632.25,616.4,617.45,55565,EQ,5030.0,11.05,33267.0
2026-01-06,617.45,636.9,613.0,616.45,104669,EQ,7931.0,13.2,37880.0
2026-01-07,617.0,624.05,616.2,620.75,73353,EQ,8646.0,8.48,34201.0
2026-01-08,620.75,620.75,600.0,604.95,110606,EQ,11231.0,9.85,57549.0
2026-01-09,604.85,612.85,597.45,604.8,84629,EQ,10358.0,8.17,43180.0
2026-01-12,603.45,607.0,592.05,605.45,76007,EQ,8363.0,9.09,36020.0
2026-01-13,609.0,613.35,602.0,611.45,54465,EQ,6343.0,8.59,27311.0
2026-01-14,608.35,612.0,604.5,609.35,42771,EQ,3610.0,11.85,22068.0
2026-01-16,609.0,612.7,605.45,606.05,45055,EQ,6532.0,6.9,33601.0
2026-01-19,603.4,605.95,595.8,600.0,77978,EQ,5489.0,14.21,56064.0
2026-01-20,598.0,600.0,590.0,591.85,97588,EQ,13983.0,6.98,66252.0
2026-01-21,590.5,595.55,585.0,592.55,107623,EQ,8493.0,12.67,75219.0
2026-01-22,598.95,609.6,598.9,601.45,57843,EQ,4812.0,12.02,27383.0
2026-01-23,601.05,601.05,590.5,590.9,48080,EQ,4441.0,10.83,28840.0
2026-01-27,590.5,590.9,565.95,574.1,132162,EQ,7677.0,17.22,87280.0
