Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-17,158.8,165.87,146.93,147.95,41035070,EQ,267801.0,153.23,19698240.0
2025-12-18,148.8,159.44,138.1,155.36,11462623,EQ,108733.0,105.42,4311092.0
2025-12-19,157.7,162.7,152.5,154.89,4599296,EQ,36392.0,126.38,1334855.0
2025-12-22,154.0,154.21,147.6,149.61,1568222,EQ,17322.0,90.53,549746.0
2025-12-23,150.01,152.89,146.25,147.53,1722420,EQ,16138.0,106.73,537592.0
2025-12-24,147.53,151.28,145.3,148.36,1839244,EQ,16845.0,109.19,661693.0
2025-12-26,148.0,148.23,144.11,145.47,813830,EQ,8798.0,92.5,392643.0
2025-12-29,144.08,153.7,142.0,148.87,1058168,EQ,11612.0,91.13,487727.0
2025-12-30,148.5,148.82,144.42,147.28,650113,EQ,7408.0,87.76,238518.0
2025-12-31,146.3,148.39,145.79,146.55,387680,EQ,4999.0,77.55,169450.0
2026-01-01,147.97,150.35,146.26,149.9,547337,EQ,5710.0,95.86,245291.0
2026-01-02,149.1,151.5,148.31,149.73,715698,EQ,7691.0,93.06,498021.0
2026-01-05,149.5,151.9,146.42,150.0,808658,EQ,9075.0,89.11,348901.0
2026-01-06,149.26,150.49,146.46,147.6,447766,EQ,5749.0,77.89,162716.0
2026-01-07,146.7,148.4,146.25,147.83,280409,EQ,3630.0,77.25,160342.0
2026-01-08,148.8,150.0,147.26,149.29,537191,EQ,6315.0,85.07,280631.0
2026-01-09,148.5,156.0,144.01,148.76,583141,EQ,6694.0,87.11,296606.0
2026-01-12,147.7,148.02,140.71,143.92,630011,EQ,7645.0,82.41,276100.0
2026-01-13,143.98,154.4,143.34,150.62,1019325,EQ,10854.0,93.91,360628.0
2026-01-14,148.0,151.0,147.3,149.67,788594,EQ,6868.0,114.82,357584.0
2026-01-16,149.0,152.9,148.99,151.41,776790,EQ,9458.0,82.13,408634.0
2026-01-19,151.41,157.0,151.0,155.43,2455874,EQ,20812.0,118.0,1099027.0
2026-01-20,155.98,156.45,150.65,153.92,1238278,EQ,11695.0,105.88,429421.0
2026-01-21,151.33,152.79,149.0,150.03,719855,EQ,6414.0,112.23,382872.0
2026-01-22,150.25,160.7,148.69,157.61,2737286,EQ,19347.0,141.48,850054.0
2026-01-23,157.55,159.97,153.91,156.14,2342575,EQ,22259.0,105.24,454111.0
2026-01-27,156.14,156.14,150.35,152.02,522603,EQ,6411.0,81.52,226241.0
2026-01-28,152.49,155.5,149.9,152.35,1144810,EQ,12805.0,89.4,419791.0
2026-01-29,152.35,152.35,144.0,146.81,563809,EQ,8188.0,68.86,245571.0
2026-01-30,145.23,156.23,144.84,153.63,604793,EQ,8980.0,67.35,357917.0
2026-02-01,154.99,154.99,149.31,150.67,234850,EQ,4223.0,55.61,96354.0
2026-02-02,151.27,155.92,149.24,153.58,890555,EQ,11125.0,80.05,385947.0
2026-02-03,156.0,160.0,151.94,157.11,1859322,EQ,15516.0,119.83,616003.0
2026-02-04,154.5,159.75,153.71,157.35,1087598,EQ,8827,123.21,350560
2026-02-05,156.5,157.99,153.1,155.52,843342,EQ,8313,101.45,223001
2026-02-06,154.94,155.9,151.4,153.19,688429,EQ,8622,79.85,272815
2026-02-09,153.01,160.25,151.32,158.8,1967971,EQ,12859,153.04,1051005
2026-02-10,159.0,169.34,158.14,166.46,6400577,EQ,44446,144.01,2510627
2026-02-11,167.2,174.5,166.11,170.21,3667740,EQ,31527,116.34,1456323
2026-02-12,170.21,179.6,170.21,172.23,3059525,EQ,26731,114.46,1571240
2026-02-13,174.0,177.8,169.91,175.53,2231981,EQ,14654,152.31,1388594
2026-02-16,175.0,177.99,173.64,175.7,996795,EQ,9173,108.67,557923
2026-02-17,176.99,180.0,172.93,178.33,941338,EQ,9852,95.55,575337
2026-02-18,180.0,183.5,178.03,179.89,1297213,EQ,16155,80.3,616343
2026-02-19,180.4,189.0,180.4,184.24,1748101,EQ,20156,86.73,883141
2026-02-20,185.69,188.25,183.0,184.37,666835,EQ,7739,86.17,331623
2026-02-23,185.89,195.97,184.57,194.91,1935598,EQ,20591,94.0,957272
2026-02-24,196.45,196.45,186.12,192.96,1219483,EQ,17170,71.02,531759
2026-02-25,193.59,197.7,186.94,188.89,988637,EQ,14842,66.61,471373
2026-02-26,189.0,191.7,184.59,190.9,779465,EQ,12339,63.17,371031
2026-02-27,192.0,195.38,190.01,193.07,863164,EQ,9302,92.79,456511
2026-03-02,185.0,194.65,183.98,190.53,927216,EQ,13349,69.46,484855
2026-03-04,187.51,192.79,182.55,184.01,774598,EQ,11423,67.81,449658
2026-03-05,184.49,195.0,184.49,193.18,1313851,EQ,10673,123.1,665578
2026-03-06,193.0,205.55,185.5,203.08,2087351,EQ,27287,76.5,817876
2026-03-09,200.9,205.52,194.0,201.74,1428890,EQ,17975,79.49,615140
2026-03-10,202.5,208.72,201.35,204.71,1437272,EQ,23253,61.81,611584
2026-03-11,206.76,207.0,201.0,203.4,781901,EQ,10481,74.6,486397
2026-03-12,201.2,204.99,197.13,198.71,609920,EQ,11436,53.33,309045
2026-03-13,200.0,201.24,191.25,192.56,678883,EQ,11661,58.22,350150
2026-03-16,190.0,194.0,181.03,185.15,1012573,EQ,13103,77.28,453426
2026-03-17,186.49,196.25,185.12,194.74,540634,EQ,7602,71.12,228441
2026-03-18,195.95,205.5,195.95,201.13,578177,EQ,11091,52.13,239034
2026-03-19,197.0,201.5,193.44,194.08,477850,EQ,10340,46.21,223066
2026-03-20,195.24,202.51,195.24,199.16,698027,EQ,12452,56.06,281705
2026-03-23,198.01,198.01,185.5,187.82,535021,EQ,7497,71.36,345610
2026-03-24,194.0,206.6,190.45,205.36,1430472,EQ,14666,97.54,824359
2026-03-25,208.7,208.7,200.0,200.11,837091,EQ,13863,60.38,405973
2026-03-27,195.54,204.0,195.54,200.0,766868,EQ,12591,60.91,349002
2026-03-30,195.6,199.39,188.27,190.06,527575,EQ,9866,53.47,208725
2026-04-01,195.0,201.87,194.0,198.03,543345,EQ,9575,56.75,267618
2026-04-02,195.0,201.65,192.5,197.19,569744,EQ,11868,48.01,164758
2026-04-06,196.0,201.1,194.81,197.37,340604,EQ,7032,48.44,135453
2026-04-07,199.7,204.25,193.1,196.06,415577,EQ,8452,49.17,168385
2026-04-08,202.97,212.0,198.04,206.16,1560962,EQ,20370,76.63,805505
2026-04-09,206.16,209.95,202.33,204.84,784119,EQ,15764,49.74,402168
2026-04-10,205.5,216.2,205.5,210.45,1033979,EQ,20980,49.28,441443
2026-04-13,208.03,213.5,201.26,208.68,785686,EQ,14354,54.74,333752
2026-04-15,213.01,213.01,203.9,208.12,1021696,EQ,15835,64.52,552648
2026-04-16,209.9,211.0,204.0,205.82,540312,EQ,10485,51.53,342864
2026-04-17,207.0,218.0,206.33,216.47,1455785,EQ,20162,72.2,876071
2026-04-20,221.0,228.99,216.58,221.79,2109956,EQ,27290,77.32,860287
2026-04-21,223.8,227.9,220.03,224.31,892456,EQ,15730,56.74,389781
2026-04-22,226.2,233.98,223.29,231.68,1278063,EQ,15627,81.79,509013
2026-04-23,233.8,235.88,225.0,228.84,1207825,EQ,12292,98.26,714492
2026-04-24,230.9,237.29,229.52,232.7,774448,EQ,11393,67.98,355235
2026-04-27,235.0,240.76,231.5,236.88,954849,EQ,9595,99.52,438414
2026-04-28,241.0,242.54,232.01,234.27,694785,EQ,9748,71.27,398367
2026-04-29,236.0,238.8,234.21,235.13,481318,EQ,5020,95.88,277930
