Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,118.75,118.75,106.0,106.15,859,EQ,10,85.9,858
2026-04-21,109.9,109.9,102.0,102.5,127,EQ,5,25.4,127
2026-04-22,108.0,108.0,99.5,99.65,1370,EQ,18,76.11,1368
2026-04-23,107.95,107.95,92.35,96.6,2801,EQ,75,37.35,2590
2026-04-24,104.95,106.25,102.1,106.0,3691,EQ,87,42.43,3178
2026-04-27,108.0,108.05,101.1,103.0,1627,EQ,62,26.24,1503
2026-04-28,110.95,111.0,101.2,102.45,344,EQ,28,12.29,336
2026-04-29,103.0,108.7,100.5,107.9,1026,EQ,39,26.31,790
2026-04-30,108.95,109.25,102.0,107.9,2068,EQ,55,37.6,1321
2026-05-04,108.84,114.4,102.96,109.9,6195,EQ,95,65.21,4279
2026-05-05,110.44,110.44,105.0,105.0,1113,EQ,23,48.39,1074
2026-05-06,108.0,110.0,101.05,105.0,493,EQ,28,17.61,474
2026-05-07,105.0,105.0,105.0,105.0,104,EQ,3,34.67,104
2026-05-08,105.0,113.95,95.32,100.05,2298,EQ,25,91.92,649
