Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,645.0,645.0,599.0,607.0,47,EQ,20,2.35,20
2026-04-21,607.0,622.8,599.45,622.1,56,EQ,7,8.0,53
2026-04-22,577.05,611.0,576.0,601.6,48,EQ,14,3.43,32
2026-04-23,594.95,624.0,594.95,615.4,317,EQ,48,6.6,287
2026-04-24,599.95,609.0,578.05,583.3,199,EQ,26,7.65,157
2026-04-27,590.05,610.0,558.0,576.05,447,EQ,75,5.96,327
2026-04-28,604.8,604.85,560.05,574.8,374,EQ,48,7.79,338
2026-04-29,586.15,599.05,570.35,572.75,142,EQ,27,5.26,88
2026-04-30,564.05,596.75,550.0,556.45,459,EQ,69,6.65,390
2026-05-04,553.7,579.95,553.7,577.4,95,EQ,21,4.52,74
2026-05-05,578.0,580.0,557.5,565.9,87,EQ,11,7.91,54
2026-05-06,576.0,585.05,575.0,580.55,584,EQ,37,15.78,552
2026-05-07,580.55,597.95,568.0,597.95,107,EQ,16,6.69,100
2026-05-08,597.0,597.0,575.15,583.95,81,EQ,16,5.06,73
2026-05-11,586.85,589.9,566.65,567.9,63,EQ,13,4.85,60
2026-05-12,589.65,589.9,570.0,584.9,385,EQ,46,8.37,304
2026-05-13,580.0,580.0,561.35,566.6,76,EQ,10,7.6,76
2026-05-14,556.05,559.9,550.0,551.4,331,EQ,34,9.74,315
2026-05-15,595.45,595.45,551.05,551.45,471,EQ,27,17.44,345
2026-05-18,572.0,572.0,543.0,550.9,141,EQ,21,6.71,91
2026-05-19,555.0,587.4,551.0,556.0,48,EQ,11,4.36,48
2026-05-20,555.1,555.1,531.0,555.0,396,EQ,44,9.0,388
2026-05-21,555.0,555.0,530.0,545.6,262,EQ,43,6.09,210
2026-05-22,553.8,553.8,553.75,553.75,12,EQ,2,6.0,12
2026-05-25,555.0,564.85,555.0,564.7,157,EQ,11,14.27,155
2026-05-26,564.45,564.45,542.8,562.0,675,EQ,59,11.44,589
