Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-02,366.0,397.0,365.1,390.0,4226926,EQ,70970,59.56,2205944
2026-04-06,390.0,399.0,387.95,396.55,533846,EQ,13585,39.3,287620
2026-04-07,399.0,399.0,384.85,395.0,293879,EQ,8139,36.11,143639
2026-04-08,400.0,406.05,393.55,404.1,883674,EQ,19607,45.07,637678
2026-04-09,396.0,409.75,394.8,396.25,256600,EQ,4655,55.12,114381
2026-04-10,402.25,416.9,399.6,410.15,345075,EQ,5558,62.09,177717
2026-04-13,401.0,412.85,398.55,406.35,242097,EQ,7601,31.85,112028
2026-04-15,414.0,424.9,406.6,421.3,420708,EQ,6840,61.51,209028
2026-04-16,424.45,438.0,417.35,429.65,740163,EQ,11823,62.6,357271
2026-04-17,431.8,453.15,428.4,439.45,920892,EQ,47070,19.56,578495
2026-04-20,448.7,459.9,446.0,455.65,616867,EQ,23705,26.02,334232
2026-04-21,460.0,476.35,457.25,469.45,635248,EQ,18449,34.43,324301
2026-04-22,468.0,479.95,452.5,458.8,725760,EQ,19716,36.81,301081
2026-04-23,454.5,462.2,448.1,453.15,278672,EQ,7331,38.01,149208
2026-04-24,455.0,456.15,441.45,449.45,257736,EQ,13059,19.74,171444
2026-04-27,452.8,477.0,447.1,464.4,753930,EQ,21190,35.58,353327
2026-04-28,462.85,489.0,460.45,483.05,485014,EQ,10971,44.21,261080
2026-04-29,492.75,498.0,478.0,492.6,565192,EQ,17595,32.12,348142
2026-04-30,495.55,499.55,481.2,489.85,355040,EQ,12931,27.46,188633
2026-05-04,489.95,493.7,473.05,489.6,217572,EQ,12163,17.89,118747
2026-05-05,488.95,497.75,483.8,487.8,158021,EQ,9324,16.95,78817
2026-05-06,494.0,494.0,468.0,481.25,436975,EQ,21997,19.87,246186
2026-05-07,480.0,512.0,480.0,492.05,494885,EQ,20139,24.57,239926
2026-05-08,493.8,523.0,493.8,509.5,747768,EQ,30948,24.16,422074
2026-05-11,512.95,514.45,498.6,501.85,296159,EQ,12621,23.47,146439
2026-05-12,499.35,505.6,489.0,494.65,369443,EQ,16151,22.87,193035
2026-05-13,498.5,525.0,498.45,512.55,416104,EQ,12357,33.67,223976
2026-05-14,522.0,554.0,518.2,536.55,649058,EQ,27060,23.99,256817
2026-05-15,539.45,557.9,523.7,549.85,885564,EQ,36136,24.51,502400
2026-05-18,552.9,552.9,527.05,534.6,318596,EQ,13163,24.2,155292
2026-05-19,537.9,549.9,529.35,540.35,226922,EQ,10144,22.37,88098
2026-05-20,541.9,579.9,524.4,559.25,512083,EQ,15977,32.05,196967
2026-05-21,579.0,581.9,550.15,555.0,477696,EQ,20332,23.49,207900
2026-05-22,556.0,563.7,550.1,551.7,172994,EQ,6519,26.54,85839
2026-05-25,558.4,570.0,547.7,555.2,465991,EQ,12432,37.48,317992
2026-05-26,559.6,579.0,555.3,574.6,250164,EQ,6695,37.37,118598
