Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,271.0,275.0,261.85,266.6,10608,EQ,300,35.36,9031
2026-04-21,266.0,266.25,246.0,256.65,48648,EQ,719,67.66,35357
2026-04-22,256.65,262.95,241.4,256.1,55057,EQ,1462,37.66,37088
2026-04-23,255.05,268.7,251.5,265.3,60291,EQ,987,61.09,44475
2026-04-24,269.0,285.0,255.05,275.9,70318,EQ,1380,50.96,46741
2026-04-27,275.9,300.0,275.9,297.45,188261,EQ,3046,61.81,105288
2026-04-28,299.5,324.45,299.45,306.85,161532,EQ,3220,50.17,92728
2026-04-29,309.95,325.0,309.95,317.8,92327,EQ,2073,44.54,49489
2026-04-30,317.8,317.8,291.2,300.5,81718,EQ,2180,37.49,41329
2026-05-04,301.5,308.8,299.55,303.65,42632,EQ,893,47.74,34502
2026-05-05,300.6,303.0,293.2,295.85,40620,EQ,672,60.45,34715
2026-05-06,295.85,298.0,285.1,290.5,57258,EQ,1579,36.26,41405
2026-05-07,293.8,319.0,290.05,304.7,149179,EQ,2417,61.72,96377
2026-05-08,310.0,310.0,302.9,303.55,21671,EQ,583,37.17,16416
2026-05-11,303.0,303.0,284.0,291.85,46780,EQ,1212,38.6,24564
2026-05-12,287.55,290.85,244.0,267.1,130168,EQ,3714,35.05,86264
2026-05-13,266.15,276.0,263.3,266.1,42121,EQ,1324,31.81,21403
2026-05-14,263.6,273.0,261.2,266.05,15091,EQ,816,18.49,7723
2026-05-15,266.05,272.15,249.9,259.95,55257,EQ,1946,28.4,33306
2026-05-18,260.0,263.75,243.1,246.65,35042,EQ,1596,21.96,21622
2026-05-19,245.0,253.0,244.0,246.7,30844,EQ,1224,25.2,19126
2026-05-20,251.05,259.8,249.55,255.2,52205,EQ,1241,42.07,40649
2026-05-21,259.75,259.75,252.9,254.35,31455,EQ,585,53.77,20932
2026-05-22,255.0,260.25,253.0,254.55,12010,EQ,676,17.77,6494
2026-05-25,259.0,266.0,255.55,263.65,18517,EQ,662,27.97,11995
2026-05-26,262.95,271.0,255.2,267.9,36587,EQ,1969,18.58,19247
2026-05-27,268.0,287.0,268.0,281.95,56741,EQ,2880,19.7,32298
2026-05-29,286.0,286.0,268.4,272.2,37615,EQ,1186,31.72,24589
2026-06-01,259.95,259.95,233.2,235.6,251865,EQ,8233,30.59,127587
2026-06-02,234.0,243.4,229.05,241.6,65511,EQ,3096,21.16,36772
2026-06-03,242.0,245.9,230.35,231.65,65714,EQ,1851,35.5,38193
2026-06-04,233.9,237.2,222.05,228.6,117619,EQ,3736,31.48,59091
2026-06-05,229.0,237.5,229.0,236.45,27528,EQ,1220,22.56,16050
2026-06-08,230.0,242.8,218.25,222.75,126124,EQ,3686,34.22,65781
2026-06-09,224.0,233.95,213.15,219.8,144402,EQ,4083,35.37,66249
2026-06-10,220.1,229.75,219.3,220.5,107868,EQ,2420,44.57,63389
2026-06-11,221.6,225.0,210.4,212.35,186467,EQ,2998,62.2,84883
2026-06-12,219.0,228.1,216.55,226.2,48802,EQ,1544,31.61,33201
2026-06-15,229.05,239.4,226.2,232.05,143419,EQ,2266,63.29,86026
2026-06-16,228.3,237.7,227.85,232.95,35998,EQ,1124,32.03,26420
2026-06-17,232.95,236.3,231.65,235.35,24404,EQ,980,24.9,14658
2026-06-18,235.35,237.3,231.4,234.95,27762,EQ,858,32.36,20761
2026-06-19,234.95,237.8,230.4,232.95,84036,EQ,821,102.36,62426
