Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,420.0,425.0,410.0,420.35,53,EQ,15,3.53,51
2026-04-21,422.45,422.95,414.4,421.05,161,EQ,22,7.32,129
2026-04-22,421.1,427.7,417.25,421.15,356,EQ,52,6.85,273
2026-04-23,429.0,435.0,414.2,428.6,1436,EQ,112,12.82,1059
2026-04-24,436.5,436.5,425.3,427.55,323,EQ,31,10.42,296
2026-04-27,429.05,429.05,422.15,426.75,635,EQ,54,11.76,524
2026-04-28,426.75,431.5,421.1,425.0,398,EQ,19,20.95,392
2026-04-29,425.05,439.95,425.0,430.95,662,EQ,27,24.52,619
2026-04-30,439.5,439.5,421.65,431.7,199,EQ,31,6.42,167
2026-05-04,400.0,431.6,400.0,430.35,710,EQ,82,8.66,572
2026-05-05,433.8,433.8,418.0,422.1,742,EQ,76,9.76,474
2026-05-06,422.5,432.1,420.0,424.4,526,EQ,35,15.03,521
2026-05-07,422.15,467.0,422.1,460.7,5298,EQ,380,13.94,2903
2026-05-08,484.9,484.9,455.9,469.6,3747,EQ,261,14.36,2969
