Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-26,26.58,27.25,26.58,26.88,52356,EQ,489,107.07,48337
2026-05-27,26.88,27.86,26.34,26.73,97163,EQ,623,155.96,85976
2026-05-29,27.26,27.26,25.75,26.49,60314,EQ,399,151.16,33198
2026-06-01,27.02,27.41,25.94,26.12,41390,EQ,440,94.07,31516
2026-06-02,26.5,27.0,25.6,26.11,32159,EQ,281,114.44,23342
2026-06-03,26.42,26.87,25.67,26.24,17322,EQ,250,69.29,10425
2026-06-04,26.76,26.76,25.53,26.23,21989,EQ,173,127.1,14867
2026-06-05,26.2,26.53,26.0,26.3,44481,EQ,185,240.44,19436
2026-06-08,26.4,26.6,25.45,26.04,65513,EQ,344,190.44,13268
2026-06-09,26.97,26.97,25.52,26.53,43786,EQ,167,262.19,15185
2026-06-10,26.06,26.88,26.06,26.6,49793,EQ,180,276.63,23511
2026-06-11,26.9,27.29,26.12,26.91,68584,EQ,650,105.51,26458
2026-06-12,27.45,28.5,26.75,27.65,56437,EQ,822,68.66,35011
2026-06-15,27.8,28.3,27.7,27.84,101154,EQ,410,246.72,84315
2026-06-16,27.32,28.5,27.32,27.97,14638,EQ,168,87.13,9104
2026-06-17,27.97,28.39,27.7,27.77,26007,EQ,191,136.16,12942
2026-06-18,28.04,28.14,27.66,28.08,32127,EQ,176,182.54,27960
2026-06-19,27.52,28.7,27.52,27.94,60150,EQ,182,330.49,55155
