Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-29,452.0,474.6,431.0,474.6,3673600,ST,5140,714.71,3656400
2026-06-01,468.2,483.0,450.9,453.35,481200,ST,724,664.64,442800
2026-06-02,449.6,476.0,440.0,468.5,447200,ST,768,582.29,394400
2026-06-03,469.85,476.0,454.0,460.65,180800,ST,333,542.94,155200
2026-06-04,466.0,472.9,455.05,471.3,126000,ST,266,473.68,113200
2026-06-05,470.0,494.85,465.55,494.85,224800,ST,329,683.28,218400
2026-06-08,499.9,519.55,499.9,514.55,320000,ST,553,578.66,276000
2026-06-09,510.15,528.9,495.3,508.75,155600,ST,318,489.31,138800
2026-06-10,508.95,519.0,483.35,483.35,134400,ST,293,458.7,122400
2026-06-11,474.05,507.5,462.2,504.35,194400,ST,379,512.93,144000
2026-06-12,510.0,523.0,492.0,509.3,287200,SM,541,530.87,174400
2026-06-15,514.0,525.0,505.0,508.3,126000,SM,245,514.29,88400
2026-06-16,507.0,508.3,488.0,502.15,116000,SM,248,467.74,84800
2026-06-17,500.05,520.85,496.0,509.65,153200,SM,298,514.09,99200
2026-06-18,514.9,542.0,501.0,525.85,403200,SM,834,483.45,223200
2026-06-19,528.95,568.0,527.0,562.6,342800,SM,699,490.41,217600
