Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,43.0,43.0,38.15,42.7,216,EQ,9,24.0,209
2026-04-21,41.85,41.85,37.2,40.85,3102,EQ,52,59.65,2154
2026-04-22,38.2,42.4,33.45,38.7,7742,EQ,123,62.94,4186
2026-04-23,41.9,41.9,38.1,40.0,6818,EQ,79,86.3,6440
2026-04-24,40.2,40.25,38.1,38.15,410,EQ,22,18.64,330
2026-04-27,37.55,41.9,37.55,38.95,2382,EQ,51,46.71,2317
2026-04-28,39.5,41.45,39.5,39.5,195,EQ,15,13.0,169
2026-04-29,40.8,40.8,38.1,39.75,1341,EQ,91,14.74,1070
2026-04-30,44.55,44.55,39.75,41.1,3690,EQ,65,56.77,2697
2026-05-04,47.69,47.69,41.02,42.0,6996,EQ,75,93.28,6383
2026-05-05,42.0,42.55,42.0,42.1,10809,EQ,26,415.73,10784
2026-05-06,42.55,42.55,40.21,42.07,2309,EQ,41,56.32,1828
2026-05-07,41.2,43.24,41.2,43.24,614,EQ,24,25.58,614
2026-05-08,43.24,45.0,41.2,41.94,2316,EQ,51,45.41,1932
2026-05-11,44.0,44.0,40.0,41.23,1036,EQ,22,47.09,685
2026-05-12,41.21,41.21,39.69,39.91,350,EQ,30,11.67,341
2026-05-13,39.55,43.29,38.55,40.23,1145,EQ,63,18.17,638
2026-05-14,43.29,43.29,37.5,38.79,3697,EQ,82,45.09,3382
2026-05-15,41.0,41.0,36.58,37.42,1927,EQ,67,28.76,1547
2026-05-18,39.99,39.99,37.06,38.58,1993,EQ,51,39.08,1652
2026-05-19,38.58,39.9,37.76,39.84,2138,EQ,32,66.81,1791
2026-05-20,40.55,40.55,37.55,38.9,6834,EQ,57,119.89,5938
2026-05-21,38.9,42.0,38.9,41.5,482,EQ,10,48.2,482
2026-05-22,41.5,41.5,40.0,40.0,2428,EQ,18,134.89,2419
2026-05-25,40.51,43.2,40.51,41.1,13730,EQ,127,108.11,13414
2026-05-26,41.0,41.9,40.0,40.35,6374,EQ,41,155.46,6149
2026-05-27,41.8,41.8,39.07,39.95,4449,EQ,39,114.08,4408
2026-05-29,43.99,43.99,41.0,41.25,6362,EQ,69,92.2,5929
2026-06-01,40.0,41.5,37.59,38.43,9700,EQ,51,190.2,9563
2026-06-02,39.94,39.94,36.01,39.88,8009,EQ,130,61.61,4099
2026-06-03,40.0,40.0,39.87,39.9,409,EQ,12,34.08,409
2026-06-04,41.0,41.5,39.9,40.46,7256,EQ,17,426.82,6955
2026-06-05,39.5,41.5,39.49,39.51,9373,EQ,41,228.61,9113
2026-06-08,40.9,42.46,38.56,41.68,15340,EQ,62,247.42,15105
2026-06-09,41.76,42.78,41.0,42.4,11835,EQ,57,207.63,9055
2026-06-10,42.5,43.65,41.94,42.95,6551,EQ,69,94.94,4951
2026-06-11,41.85,43.9,41.85,43.55,4584,EQ,19,241.26,3775
2026-06-12,43.55,43.55,41.75,42.85,2223,EQ,22,101.05,1943
2026-06-15,44.0,44.0,40.9,43.0,1401,EQ,26,53.88,1369
2026-06-16,43.49,43.49,40.0,41.2,11497,EQ,58,198.22,9885
2026-06-17,39.5,42.6,39.5,42.4,1711,EQ,23,74.39,1160
2026-06-18,42.0,43.5,42.0,43.25,7359,EQ,38,193.66,5359
2026-06-19,42.5,43.95,42.0,43.18,1033,EQ,19,54.37,823
