Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,810.0,814.0,745.0,794.5,4436,EQ,173,25.64,4009
2026-04-21,799.95,833.95,789.0,795.0,533,EQ,90,5.92,249
2026-04-22,794.95,809.95,790.0,793.7,1268,EQ,138,9.19,721
2026-04-23,804.05,815.15,777.1,782.25,1043,EQ,229,4.55,623
2026-04-24,779.95,815.0,771.0,785.9,742,EQ,134,5.54,578
2026-04-27,798.95,799.0,751.0,774.05,1112,EQ,177,6.28,778
2026-04-28,765.0,820.0,765.0,813.85,1764,EQ,144,12.25,1421
2026-04-29,815.0,815.0,806.0,813.55,914,EQ,57,16.04,811
2026-04-30,790.0,810.0,780.0,803.85,502,EQ,16,31.38,390
2026-05-04,829.0,850.0,805.05,818.65,328,EQ,52,6.31,275
2026-05-05,810.0,825.0,810.0,825.0,176,EQ,16,11.0,176
2026-05-06,849.55,849.55,816.05,843.95,1541,EQ,46,33.5,1292
2026-05-07,838.0,843.95,819.05,830.05,593,EQ,50,11.86,451
2026-05-08,821.0,853.95,821.0,848.4,948,EQ,78,12.15,881
2026-05-11,848.9,848.9,805.4,823.3,630,EQ,43,14.65,536
2026-05-12,823.3,823.3,790.0,794.1,645,EQ,19,33.95,622
2026-05-13,805.0,824.0,805.0,807.25,556,EQ,8,69.5,534
2026-05-14,790.05,794.2,790.05,794.0,260,EQ,9,28.89,260
2026-05-15,804.0,805.0,790.15,793.2,1117,EQ,18,62.06,617
2026-05-18,793.2,825.0,774.05,780.0,1421,EQ,34,41.79,1416
2026-05-19,780.05,789.0,776.0,776.5,1117,EQ,59,18.93,923
2026-05-20,776.0,776.0,749.0,757.0,1751,EQ,60,29.18,1491
2026-05-21,755.1,775.0,751.1,755.85,5799,EQ,112,51.78,3842
2026-05-22,762.6,787.7,755.85,787.5,813,EQ,31,26.23,812
2026-05-25,813.95,847.8,805.55,814.85,2067,EQ,157,13.17,1775
2026-05-26,824.95,824.95,800.0,800.25,2883,EQ,30,96.1,1774
