Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-01,370.4,370.9,370.4,370.9,3000,BE,36,83.33,3000
2026-04-01,370.4,370.9,370.4,370.9,3000,BE,36,83.33,3000
2026-04-02,389.4,389.4,371.0,389.0,15118,BE,217,69.67,15118
2026-04-06,404.0,404.0,390.0,399.45,12056,BE,249,48.42,12056
2026-04-07,403.45,409.0,380.0,395.6,8626,BE,138,62.51,8626
2026-04-08,414.7,415.15,400.0,407.35,10334,BE,198,52.19,10334
2026-04-09,407.0,407.0,392.2,401.1,12075,BE,186,64.92,12075
2026-04-10,411.9,415.0,390.0,412.2,10894,BE,168,64.85,10894
2026-04-13,409.7,412.0,392.0,398.9,13340,BE,342,39.01,13340
2026-04-15,405.9,418.8,405.9,418.55,18876,BE,211,89.46,18876
2026-04-16,434.0,439.45,420.0,429.95,12261,BE,243,50.46,12261
2026-04-17,443.0,451.4,439.0,451.4,11250,BE,92,122.28,11250
