Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-04,37.65,43.0,33.45,34.45,166945,EQ,3927.0,42.51,75207.0
2025-09-05,34.75,34.75,32.8,33.35,23793,EQ,989.0,24.06,7082.0
2025-09-08,33.6,34.65,32.6,34.1,7156,EQ,451.0,15.87,2986.0
2025-09-09,34.6,40.0,32.5,36.6,396195,EQ,6535.0,60.63,44909.0
2025-09-10,36.5,37.6,35.35,36.25,27394,EQ,813.0,33.69,12120.0
2025-09-11,35.75,38.65,35.65,37.35,58979,EQ,2043.0,28.87,26290.0
2025-09-12,37.0,39.4,37.0,38.5,48729,EQ,2167.0,22.49,18416.0
2025-09-15,38.65,40.35,38.1,39.05,43910,EQ,4715.0,9.31,7242.0
2025-09-16,39.6,39.6,38.45,39.1,8176,EQ,847.0,9.65,3130.0
2025-09-17,39.4,40.65,37.05,37.55,41690,EQ,2262.0,18.43,20525.0
2025-09-18,37.35,40.35,37.35,38.45,25633,EQ,1859.0,13.79,7862.0
2025-09-19,38.35,39.95,37.5,37.8,33763,EQ,2828.0,11.94,8894.0
2025-09-22,38.55,40.15,37.25,39.25,190765,EQ,3822.0,49.91,149288.0
2025-09-23,40.55,45.6,37.45,38.5,307522,EQ,5233.0,58.77,112665.0
2025-09-24,38.8,39.45,37.95,38.35,15086,EQ,972.0,15.52,7430.0
2025-09-25,37.5,38.95,37.5,38.35,14521,EQ,541.0,26.84,9811.0
2025-09-26,39.15,40.35,38.45,39.05,40242,EQ,1355.0,29.7,30856.0
2025-09-29,39.55,40.05,38.65,39.65,24936,EQ,1034.0,24.12,15700.0
2025-09-30,41.6,45.0,38.65,39.55,346855,EQ,7430.0,46.68,61997.0
2025-10-01,40.15,42.3,40.15,40.95,37127,EQ,1833.0,20.25,10522.0
2025-10-03,41.25,41.35,39.1,39.75,27203,EQ,1122.0,24.25,12449.0
2025-10-06,39.5,42.45,39.1,41.75,150766,EQ,3147.0,47.91,96198.0
2025-10-07,42.0,42.75,41.35,42.05,32371,EQ,1582.0,20.46,15034.0
2025-10-08,42.65,42.9,41.05,42.1,44339,EQ,1541.0,28.77,23286.0
2025-10-09,42.95,43.45,42.35,42.5,26548,EQ,1301.0,20.41,13935.0
2025-10-10,42.7,43.15,42.35,42.6,6479,EQ,409.0,15.84,2905.0
