Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,145.0,145.0,145.0,145.0,1,EQ,1,1.0,1
2026-08-18,146.45,146.45,136.3,136.35,894,EQ,15,59.6,894
2026-08-19,136.35,149.9,136.0,143.5,1377,EQ,33,41.73,1377
2026-08-20,136.0,143.25,133.0,143.25,414,EQ,10,41.4,414
2026-08-24,143.25,145.0,139.0,139.0,744,EQ,35,21.26,692
2026-08-25,133.0,139.0,133.0,139.0,54,EQ,7,7.71,52
2026-08-26,151.99,151.99,151.0,151.66,3,EQ,2,1.5,3
2026-08-27,136.5,145.0,136.5,145.0,12,EQ,4,3.0,12
2026-08-28,145.0,145.0,130.5,134.5,631,EQ,16,39.44,321
2026-08-31,134.5,145.0,130.0,144.9,509,EQ,25,20.36,508
2026-09-01,146.34,146.34,130.41,134.15,564,EQ,34,16.59,387
2026-09-02,134.15,139.9,131.05,138.85,539,EQ,21,25.67,533
2026-09-03,138.5,145.6,130.0,138.37,3378,EQ,54,62.56,3189
2026-09-04,138.0,138.0,129.99,136.83,309,EQ,12,25.75,285
