Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,15.85,16.45,15.25,15.35,7992,EQ,40,199.8,6081
2026-04-21,15.35,16.5,15.25,15.95,25339,EQ,178,142.35,16588
2026-04-22,16.6,17.5,16.2,16.3,33798,EQ,211,160.18,30884
2026-04-23,16.65,16.95,15.7,16.1,26727,EQ,123,217.29,23898
2026-04-24,16.4,16.6,16.1,16.15,35992,EQ,122,295.02,34404
2026-04-27,16.45,18.0,16.0,16.45,18713,EQ,163,114.8,16322
2026-04-28,16.8,17.2,16.5,17.15,14254,EQ,63,226.25,8726
2026-04-29,17.85,18.5,16.5,17.0,54451,EQ,399,136.47,36371
2026-04-30,17.35,17.35,16.8,16.85,4231,EQ,45,94.02,3176
2026-05-04,16.77,17.8,16.55,17.68,30716,EQ,223,137.74,28813
2026-05-05,18.45,18.9,17.5,18.35,45719,EQ,216,211.66,41597
2026-05-06,18.44,19.4,18.44,19.22,23873,EQ,275,86.81,18465
2026-05-07,19.95,20.35,19.21,20.24,56943,EQ,289,197.03,37292
2026-05-08,20.32,20.35,19.71,20.14,69781,EQ,199,350.66,48184
2026-05-11,19.26,20.35,18.55,20.04,44942,EQ,199,225.84,29257
2026-05-12,16.13,19.96,16.13,19.25,129189,EQ,642,201.23,89501
2026-05-13,19.31,19.97,18.61,18.81,17571,EQ,76,231.2,12988
2026-05-14,19.19,19.49,18.87,19.02,12591,EQ,52,242.13,11311
2026-05-15,19.4,20.2,18.66,20.13,41224,EQ,207,199.15,34837
2026-05-18,19.65,20.35,18.56,20.25,94809,EQ,242,391.77,78351
2026-05-19,20.44,21.3,19.78,20.72,77084,EQ,530,145.44,57775
2026-05-20,21.2,21.2,20.16,20.65,45431,EQ,135,336.53,29977
2026-05-21,21.0,21.05,20.32,20.94,76734,EQ,327,234.66,61459
2026-05-22,21.5,21.5,20.5,20.61,15488,EQ,93,166.54,14416
2026-05-25,20.4,21.28,19.6,20.26,21944,EQ,168,130.62,16074
2026-05-26,20.05,20.56,20.01,20.25,34388,EQ,92,373.78,31223
2026-05-27,20.25,20.8,19.35,20.34,28277,EQ,110,257.06,23755
2026-05-29,20.01,20.98,19.52,19.96,119019,EQ,269,442.45,98708
2026-06-01,20.78,20.78,19.65,20.16,43381,EQ,174,249.32,33940
2026-06-02,20.56,20.56,19.75,20.11,53903,EQ,75,718.71,49677
2026-06-03,19.72,20.49,19.72,20.04,31217,EQ,107,291.75,19921
2026-06-04,20.04,20.69,19.72,20.18,88862,EQ,118,753.07,82834
2026-06-05,19.78,20.79,19.78,20.31,15047,EQ,82,183.5,12536
2026-06-08,19.5,20.8,19.5,20.39,10926,EQ,90,121.4,7426
2026-06-09,20.5,20.5,19.61,20.42,25768,EQ,88,292.82,21096
2026-06-10,20.5,20.6,20.17,20.24,116614,EQ,110,1060.13,105244
2026-06-11,20.24,20.46,19.2,20.18,38746,EQ,75,516.61,36078
2026-06-12,20.5,20.5,20.0,20.3,28410,EQ,89,319.21,24928
