Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,86.85,86.85,84.45,84.45,116,EQ,7,16.57,114
2026-04-21,84.05,84.05,84.05,84.05,1,EQ,1,1.0,1
2026-04-23,90.85,99.0,75.05,81.2,1346,EQ,52,25.88,1058
2026-04-24,84.8,84.8,81.6,81.75,15,EQ,3,5.0,14
2026-04-27,82.2,89.5,79.3,81.9,654,EQ,32,20.44,434
2026-04-28,81.95,90.0,81.95,88.9,388,EQ,17,22.82,236
2026-04-29,89.35,89.35,84.75,84.75,28,EQ,7,4.0,25
2026-04-30,84.35,84.35,84.35,84.35,8,EQ,1,8.0,8
2026-05-04,98.69,98.69,82.01,85.75,731,EQ,36,20.31,600
2026-05-05,86.0,87.5,85.89,87.5,510,EQ,4,127.5,510
2026-05-06,73.05,90.0,73.05,88.51,1410,EQ,84,16.79,750
2026-05-07,85.0,90.0,82.1,85.0,1714,EQ,54,31.74,487
2026-05-08,85.0,85.0,85.0,85.0,11,EQ,3,3.67,11
2026-05-11,85.0,85.0,82.0,82.0,123,EQ,10,12.3,103
2026-05-14,81.0,86.0,81.0,86.0,22,EQ,3,7.33,22
2026-05-15,85.0,85.0,84.42,84.44,76,EQ,6,12.67,76
2026-05-18,80.0,84.0,74.69,79.62,326,EQ,17,19.18,209
2026-05-19,81.0,85.0,75.11,79.45,283,EQ,15,18.87,269
2026-05-20,84.0,88.85,84.0,84.94,1045,EQ,47,22.23,583
2026-05-21,97.99,101.92,90.16,101.92,20643,EQ,292,70.7,6409
2026-05-22,106.9,106.9,93.06,95.26,13646,EQ,338,40.37,5814
2026-05-25,96.9,96.9,87.5,90.45,585,EQ,57,10.26,519
2026-05-26,88.0,88.0,82.0,86.14,2479,EQ,196,12.65,2158
2026-05-27,84.0,84.0,79.0,80.1,3477,EQ,51,68.18,2070
2026-05-29,82.6,83.77,77.01,81.96,989,EQ,42,23.55,790
2026-06-01,86.8,86.8,74.51,78.37,975,EQ,40,24.38,676
2026-06-02,79.01,82.97,75.0,76.78,1108,EQ,61,18.16,690
2026-06-03,79.0,81.39,74.0,75.05,473,EQ,47,10.06,438
2026-06-04,76.0,76.0,75.05,75.81,88,EQ,5,17.6,88
2026-06-08,80.5,80.5,76.79,79.7,280,EQ,24,11.67,280
2026-06-09,73.0,79.0,73.0,78.0,144,EQ,4,36.0,94
2026-06-10,85.99,85.99,77.0,79.8,413,EQ,22,18.77,340
2026-06-11,81.0,81.0,80.0,80.0,51,EQ,4,12.75,51
2026-06-12,80.0,80.0,80.0,80.0,50,EQ,2,25.0,50
2026-06-15,85.99,85.99,82.0,82.0,100,EQ,6,16.67,100
2026-06-16,82.0,82.0,82.0,82.0,50,EQ,1,50.0,50
2026-06-17,86.98,86.98,76.31,80.52,636,EQ,32,19.88,437
2026-06-18,81.0,81.0,81.0,81.0,126,EQ,3,42.0,126
2026-06-19,82.0,85.0,81.0,85.0,265,EQ,12,22.08,264
2026-06-22,82.0,84.98,78.0,84.98,349,EQ,15,23.27,349
2026-06-23,84.75,84.75,84.75,84.75,1,EQ,1,1.0,1
2026-06-24,83.25,83.25,79.3,81.18,310,EQ,9,34.44,310
2026-06-25,80.78,84.0,79.16,84.0,153,EQ,8,19.12,151
2026-06-29,80.2,84.0,76.15,79.61,93,EQ,12,7.75,80
2026-06-30,80.0,80.0,79.0,80.0,4,EQ,3,1.33,4
2026-07-02,76.0,82.8,76.0,82.5,93,EQ,5,18.6,93
2026-07-03,81.5,81.5,80.0,80.0,105,EQ,2,52.5,105
2026-07-06,79.6,84.0,77.5,84.0,8,EQ,4,2.0,7
2026-07-07,80.1,80.1,80.0,80.0,105,EQ,2,52.5,105
2026-07-08,80.0,83.0,78.0,78.0,173,EQ,11,15.73,173
2026-07-09,80.0,80.0,80.0,80.0,99,EQ,5,19.8,73
2026-07-13,80.0,80.0,80.0,80.0,2,EQ,1,2.0,2
2026-07-14,80.0,80.0,80.0,80.0,3,EQ,1,3.0,3
2026-07-16,75.0,79.95,75.0,76.73,79,EQ,11,7.18,73
2026-07-17,80.0,84.0,80.0,81.93,1984,EQ,35,56.69,1519
2026-07-20,83.97,88.94,82.74,88.38,1276,EQ,18,70.89,1265
2026-07-21,83.0,83.0,83.0,83.0,49,EQ,5,9.8,49
2026-07-22,82.98,82.98,82.98,82.98,5,EQ,3,1.67,5
2026-07-23,82.98,82.98,80.11,82.82,36,EQ,4,9.0,36
2026-07-24,82.81,82.81,82.81,82.81,4,EQ,2,2.0,4
2026-07-27,73.2,82.79,73.2,82.0,45,EQ,5,9.0,35
2026-07-28,74.0,88.87,65.6,77.69,638,EQ,29,22.0,517
2026-07-29,75.11,83.0,75.11,76.91,426,EQ,29,14.69,338
2026-07-30,77.25,92.29,77.0,92.29,8794,EQ,124,70.92,6683
2026-07-31,105.0,110.74,102.9,110.74,160324,EQ,1763,90.94,31568
2026-08-03,112.0,132.88,101.15,132.88,156670,EQ,2464,63.58,30047
2026-08-04,134.85,146.16,133.54,145.88,156418,EQ,2238,69.89,27909
