Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-02,400.0,416.0,400.0,405.7,1052029,EQ,18368,57.28,254726
2026-04-06,407.15,424.2,404.5,406.65,173200,EQ,4866,35.59,53549
2026-04-07,406.0,418.0,406.0,409.25,719931,EQ,2889,249.2,654930
2026-04-08,420.0,443.9,410.7,421.75,325968,EQ,6526,49.95,114724
2026-04-09,421.75,436.4,417.05,422.7,519701,EQ,3531,147.18,443025
2026-04-10,430.0,438.7,422.75,423.95,573844,EQ,4009,143.14,479873
2026-04-13,416.0,434.9,416.0,426.65,510764,EQ,3752,136.13,420872
2026-04-15,438.55,457.45,430.0,436.7,474226,EQ,7232,65.57,292445
2026-04-16,444.0,475.0,439.15,465.1,599708,EQ,7748,77.4,407719
2026-04-17,469.75,526.3,468.35,480.1,877373,EQ,14697,59.7,515555
