Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-21,279.9,279.95,275.0,279.0,415,EQ,27,15.37,401
2026-04-22,279.0,309.95,279.0,290.2,2316,EQ,57,40.63,2292
2026-04-23,313.0,328.0,261.0,296.25,1753,EQ,117,14.98,829
2026-04-24,296.25,300.0,278.05,294.5,675,EQ,48,14.06,625
2026-04-27,294.5,304.2,288.0,291.85,946,EQ,55,17.2,886
2026-04-28,330.0,330.0,300.0,300.0,1323,EQ,62,21.34,1074
2026-04-29,310.0,310.0,301.05,306.9,1296,EQ,76,17.05,1093
2026-04-30,293.15,317.85,293.15,306.3,592,EQ,33,17.94,513
2026-05-04,314.85,319.9,305.0,309.0,398,EQ,22,18.09,389
2026-05-05,309.0,309.0,298.1,306.2,444,EQ,24,18.5,434
2026-05-06,305.0,309.5,304.95,306.55,468,EQ,17,27.53,468
2026-05-07,319.9,319.9,296.5,312.95,1490,EQ,20,74.5,1379
2026-05-08,301.0,318.85,300.45,309.45,2067,EQ,44,46.98,2043
