Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-22,274.95,276.0,274.95,276.0,45,EQ,8,5.62,42
2026-04-23,304.0,304.0,271.3,277.25,121,EQ,34,3.56,102
2026-04-24,278.05,280.0,274.95,280.0,165,EQ,11,15.0,103
2026-04-27,282.0,288.0,277.7,288.0,19,EQ,7,2.71,15
2026-04-28,276.35,276.35,276.3,276.3,2,EQ,2,1.0,1
2026-04-29,274.0,283.0,274.0,283.0,1524,EQ,11,138.55,1231
2026-04-30,277.05,277.05,277.0,277.0,73,EQ,9,8.11,69
2026-05-04,277.0,277.0,277.0,277.0,35,EQ,1,35.0,35
2026-05-05,277.0,283.95,268.0,271.05,408,EQ,27,15.11,310
2026-05-06,272.3,282.0,272.3,274.8,165,EQ,9,18.33,164
2026-05-08,278.0,285.0,275.0,285.0,62,EQ,10,6.2,61
2026-05-11,286.4,296.0,278.05,278.05,65,EQ,8,8.12,57
2026-05-12,278.3,278.3,275.3,277.4,8,EQ,5,1.6,8
2026-05-13,284.0,284.0,284.0,284.0,1,EQ,1,1.0,1
2026-05-14,282.0,284.0,275.05,283.65,110,EQ,9,12.22,109
2026-05-15,288.0,288.0,288.0,288.0,1,EQ,1,1.0,1
2026-05-19,288.0,288.0,285.0,285.0,3,EQ,2,1.5,3
2026-05-21,285.0,285.0,282.8,282.95,5,EQ,4,1.25,4
2026-05-29,323.95,323.95,271.3,276.35,357,EQ,45,7.93,82
2026-06-01,272.3,272.3,271.4,271.4,8,EQ,4,2.0,8
2026-06-02,299.95,299.95,299.0,299.0,6,EQ,2,3.0,6
2026-06-03,265.5,275.9,265.5,275.5,100,EQ,18,5.56,73
2026-06-04,271.3,280.0,271.3,279.9,19,EQ,3,6.33,18
2026-06-05,280.0,293.8,280.0,282.0,32,EQ,7,4.57,30
2026-06-08,282.0,295.95,282.0,290.9,172,EQ,23,7.48,169
2026-06-09,290.0,290.0,290.0,290.0,2,EQ,2,1.0,2
2026-06-11,282.0,282.0,282.0,282.0,4,EQ,2,2.0,4
2026-06-12,290.0,295.0,290.0,295.0,201,EQ,2,100.5,201
