Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-06,60.34,60.69,59.64,59.94,15413,EQ,96,160.55,13005
2026-03-09,59.94,59.94,57.39,58.69,12086,EQ,100,120.86,6716
2026-03-10,58.7,59.87,58.7,59.68,8697,EQ,57,152.58,8154
2026-03-11,59.97,60.97,58.5,58.8,39861,EQ,124,321.46,33623
2026-03-12,59.18,59.18,57.6,58.47,9371,EQ,79,118.62,8496
2026-03-13,58.48,58.48,56.69,56.75,12493,EQ,172,72.63,11795
2026-03-16,56.75,58.5,55.8,57.06,28809,EQ,123,234.22,18153
2026-03-17,57.34,57.97,56.66,57.47,17911,EQ,75,238.81,15403
2026-03-18,58.15,58.62,57.94,58.42,1593,EQ,34,46.85,1521
2026-03-19,57.61,58.11,56.26,56.56,16321,EQ,164,99.52,15267
2026-03-20,56.02,57.97,56.02,56.84,9603,EQ,70,137.19,8900
2026-03-23,56.79,57.89,54.09,54.47,44272,EQ,266,166.44,30165
2026-03-24,55.98,56.32,55.0,56.12,16282,EQ,97,167.86,11618
2026-03-25,57.57,57.74,57.04,57.41,24796,EQ,65,381.48,16517
2026-03-27,57.51,57.51,56.12,56.24,40640,EQ,155,262.19,30854
2026-03-30,56.56,57.48,53.86,55.07,17439,EQ,163,106.99,12663
2026-04-01,56.8,58.0,55.66,55.78,19588,EQ,94,208.38,7238
2026-04-02,54.68,55.78,54.06,55.58,25794,EQ,119,216.76,24766
2026-04-06,55.55,57.6,55.35,56.63,31916,EQ,93,343.18,25329
2026-04-07,56.16,57.36,55.88,56.48,10394,EQ,88,118.11,5670
2026-04-08,59.7,59.97,58.16,59.4,32458,EQ,119,272.76,22482
2026-04-09,59.4,60.96,59.2,59.57,16387,EQ,165,99.32,11555
2026-04-10,59.66,61.1,59.57,60.83,22348,EQ,70,319.26,10754
2026-04-13,60.83,60.95,59.32,60.05,23820,EQ,168,141.79,17552
2026-04-15,60.45,62.19,60.44,61.15,41573,EQ,106,392.2,33848
2026-04-16,61.15,61.69,60.59,61.16,9936,EQ,113,87.93,7402
2026-04-17,61.17,62.28,60.97,61.77,25808,EQ,86,300.09,21279
2026-04-20,61.96,62.75,61.35,61.71,21039,EQ,97,216.9,16140
2026-04-21,61.72,63.35,61.72,62.18,18585,EQ,69,269.35,12180
2026-04-22,62.74,63.22,61.71,61.98,6284,EQ,110,57.13,5983
2026-04-23,61.68,62.97,61.68,61.84,14123,EQ,93,151.86,12532
2026-04-24,61.86,62.16,60.87,61.37,24166,EQ,137,176.39,11323
2026-04-27,61.89,62.57,61.37,61.92,26571,EQ,137,193.95,20378
2026-04-28,61.93,62.46,61.35,61.87,21588,EQ,71,304.06,17258
2026-04-29,62.23,63.45,61.5,62.34,15714,EQ,57,275.68,10953
2026-04-30,62.65,63.34,60.58,61.33,36076,EQ,224,161.05,31128
2026-05-04,62.06,62.57,61.16,61.47,29493,EQ,219,134.67,16940
2026-05-05,61.47,61.84,61.2,61.68,3970,EQ,67,59.25,3201
2026-05-06,61.68,63.0,61.68,62.91,13852,EQ,75,184.69,10200
2026-05-07,63.45,64.94,63.38,63.81,11806,EQ,80,147.57,9156
2026-05-08,64.44,64.5,63.38,63.79,17630,EQ,78,226.03,9340
2026-05-11,64.1,64.8,62.44,62.99,28392,EQ,162,175.26,22414
2026-05-12,63.3,63.3,61.3,61.37,31378,EQ,196,160.09,19532
2026-05-13,61.47,62.47,60.98,61.52,4957,EQ,96,51.64,3933
2026-05-14,62.11,62.97,61.5,62.21,7964,EQ,83,95.95,5919
2026-05-15,62.21,63.17,61.82,62.14,18506,EQ,110,168.24,9726
2026-05-18,61.14,62.5,60.64,61.69,9190,EQ,109,84.31,5432
2026-05-19,61.99,62.65,61.76,62.08,5046,EQ,55,91.75,3438
2026-05-20,62.08,62.69,61.42,62.67,4642,EQ,47,98.77,4070
2026-05-21,63.57,63.57,62.01,62.48,7295,EQ,82,88.96,5958
2026-05-22,62.65,63.56,62.1,62.55,12952,EQ,53,244.38,12362
2026-05-25,63.57,63.97,62.55,63.43,24004,EQ,115,208.73,21521
2026-05-26,63.5,64.9,63.34,63.75,39209,EQ,96,408.43,33425
2026-05-27,63.52,65.0,62.83,63.74,45961,EQ,133,345.57,41226
2026-05-29,64.38,64.57,63.21,63.47,11083,EQ,111,99.85,7042
2026-06-01,64.28,64.28,62.2,62.3,12995,EQ,154,84.38,11377
2026-06-02,62.3,62.85,61.27,62.14,51999,EQ,135,385.18,31339
2026-06-03,62.45,62.87,61.3,62.19,9252,EQ,103,89.83,8324
2026-06-04,62.5,63.07,62.19,62.45,2261,EQ,35,64.6,1766
2026-06-05,62.45,63.5,61.76,62.4,9342,EQ,99,94.36,5579
2026-06-08,62.45,62.45,60.75,61.29,29826,EQ,176,169.47,29432
2026-06-09,60.99,62.27,60.99,61.76,27982,EQ,93,300.88,20937
2026-06-10,62.06,62.7,61.2,61.32,13892,EQ,92,151.0,8258
2026-06-11,61.2,61.67,60.5,60.5,25247,EQ,126,200.37,16428
2026-06-12,61.42,63.7,61.2,62.49,17882,EQ,60,298.03,12154
2026-06-15,63.31,65.24,63.31,63.82,311535,EQ,201,1549.93,232813
2026-06-16,63.8,64.49,62.43,63.93,76036,EQ,141,539.26,54966
2026-06-17,64.5,64.8,63.77,64.15,45432,EQ,85,534.49,43020
2026-06-18,64.78,64.8,63.89,64.44,31688,EQ,86,368.47,20301
2026-06-19,64.82,67.74,63.15,64.78,125566,EQ,525,239.17,106214
