Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-25,17.02,17.04,16.88,16.98,38262,EQ,88,434.8,28731
2026-05-26,17.4,17.4,17.0,17.11,105015,EQ,112,937.63,89303
2026-05-27,17.19,17.5,17.01,17.06,43902,EQ,134,327.63,33105
2026-05-29,17.4,17.5,16.94,17.01,142466,EQ,143,996.27,132562
2026-06-01,17.09,17.47,16.77,16.87,50657,EQ,182,278.34,46510
2026-06-02,16.87,17.27,16.69,17.03,62669,EQ,113,554.59,38742
2026-06-03,17.11,17.31,16.71,17.13,16652,EQ,96,173.46,11345
2026-06-04,17.33,17.33,16.96,17.07,10267,EQ,98,104.77,7615
2026-06-05,17.02,17.41,16.97,17.01,15174,EQ,99,153.27,9370
2026-06-08,17.26,17.26,16.55,16.76,106976,EQ,213,502.23,55072
