Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-25,15.6,16.4,15.51,15.64,18060,EQ,37,488.11,11094
2026-05-26,15.95,17.49,14.43,15.58,652600,EQ,252,2589.68,362267
2026-05-27,15.65,15.81,15.64,15.72,39926,EQ,55,725.93,32189
2026-05-29,15.79,15.91,15.23,15.37,129236,EQ,112,1153.89,103983
2026-06-01,15.75,15.75,15.3,15.31,27465,EQ,101,271.93,19418
2026-06-02,15.98,15.98,15.19,15.3,23622,EQ,74,319.22,7869
2026-06-03,15.61,15.61,15.19,15.35,11754,EQ,54,217.67,7398
2026-06-04,15.33,15.54,15.33,15.43,23771,EQ,43,552.81,22958
2026-06-05,15.49,15.5,15.33,15.37,5288,EQ,37,142.92,5208
2026-06-08,15.37,15.48,15.2,15.24,12360,EQ,78,158.46,10713
2026-06-09,15.25,15.4,15.25,15.33,11325,EQ,25,453.0,6080
2026-06-10,15.53,15.53,15.03,15.03,11226,EQ,66,170.09,4828
2026-06-11,15.23,15.23,14.92,14.94,6107,EQ,57,107.14,4318
2026-06-12,15.05,15.3,14.98,14.99,33824,EQ,20,1691.2,17671
2026-06-15,15.29,17.7,15.18,16.65,166404,EQ,418,398.1,60962
2026-06-16,16.37,16.37,15.2,15.32,607311,EQ,719,844.66,424638
2026-06-17,15.52,15.52,15.18,15.28,74023,EQ,140,528.74,32025
2026-06-18,15.28,15.43,15.19,15.27,90376,EQ,100,903.76,79628
2026-06-19,15.27,15.39,15.2,15.25,11783,EQ,45,261.84,8869
