Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,34.85,34.85,31.35,33.7,700,EQ,24,29.17,638
2026-04-21,33.7,34.4,32.0,34.05,8000,EQ,36,222.22,7647
2026-04-22,34.0,34.9,32.75,33.85,12738,EQ,110,115.8,11872
2026-04-23,34.0,35.95,33.45,35.5,48215,EQ,146,330.24,42839
2026-04-24,35.6,38.25,35.0,36.75,99659,EQ,942,105.8,51127
2026-04-27,37.5,40.0,37.0,38.6,112400,EQ,929,120.99,69976
2026-04-28,38.5,38.5,34.5,36.25,51927,EQ,641,81.01,33757
2026-04-29,35.4,37.9,35.4,36.25,19617,EQ,515,38.09,11405
2026-04-30,38.5,38.5,35.0,35.7,24795,EQ,274,90.49,13945
2026-05-04,35.7,36.94,34.4,36.01,8994,EQ,103,87.32,7947
2026-05-05,35.86,36.98,35.28,36.2,6524,EQ,127,51.37,5586
2026-05-06,35.48,38.0,35.33,37.82,64246,EQ,418,153.7,45124
2026-05-07,37.06,40.25,37.06,38.4,89415,EQ,691,129.4,67000
2026-05-08,39.65,40.0,38.3,39.61,116024,EQ,485,239.22,90393
2026-05-11,39.99,39.99,37.5,38.82,39937,EQ,521,76.65,27938
2026-05-12,39.3,39.3,37.8,38.04,28840,EQ,176,163.86,22259
2026-05-13,38.04,40.0,37.11,38.56,49177,EQ,412,119.36,33658
2026-05-14,39.35,39.35,38.39,38.99,19771,EQ,80,247.14,14426
2026-05-15,39.1,39.1,36.0,36.65,40444,EQ,679,59.56,27715
2026-05-18,38.25,41.65,37.7,39.36,459888,EQ,2970,154.84,239379
2026-05-19,40.95,40.95,39.27,40.13,116936,EQ,615,190.14,85970
2026-05-20,40.45,40.45,38.01,38.44,42176,EQ,731,57.7,24324
2026-05-21,38.44,39.28,38.44,38.94,21325,EQ,272,78.4,13821
2026-05-22,38.8,39.55,38.64,38.87,14955,EQ,116,128.92,11124
2026-05-25,39.88,40.0,38.13,38.42,65494,EQ,299,219.04,55133
2026-05-26,39.75,39.75,37.75,38.08,15633,EQ,333,46.95,9163
