Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-28,112.6,119.67,109.0,109.98,28514464,EQ,195293.0,146.01,12777751.0
2026-01-29,108.0,108.9,99.85,100.85,13323901,EQ,135351.0,98.44,6462011.0
2026-01-30,99.95,109.3,98.55,106.62,7085928,EQ,87075.0,81.38,2890572.0
2026-02-01,107.9,110.1,104.2,109.17,2223983,EQ,72201.0,30.8,1209685.0
2026-02-02,107.03,108.8,104.5,107.52,2562057,EQ,53721.0,47.69,1653931.0
2026-02-03,109.04,112.25,104.9,111.08,3443049,EQ,80179.0,42.94,1587071.0
2026-02-04,109.02,116.9,107.5,116.08,4118930,EQ,40612,101.42,1623624
2026-02-05,117.0,119.5,113.4,114.16,2452084,EQ,21353,114.84,770953
2026-02-06,114.0,117.07,111.74,113.95,1379988,EQ,15378,89.74,324173
2026-02-09,115.29,116.29,112.51,114.62,2265476,EQ,20132,112.53,1330329
2026-02-10,116.89,122.98,114.81,118.11,7330989,EQ,91297,80.3,2460859
2026-02-11,118.69,120.0,117.15,118.99,2268134,EQ,90160,25.16,1128455
2026-02-12,118.0,125.32,117.1,124.28,11127467,EQ,74983,148.4,4038600
2026-02-13,124.0,127.75,121.86,124.73,8281576,EQ,54888,150.88,3631771
2026-02-16,123.0,124.72,119.04,121.09,2213287,EQ,17723,124.88,1118810
2026-02-17,121.0,121.19,116.26,119.36,3007472,EQ,27526,109.26,1541792
2026-02-18,121.0,123.02,119.39,122.54,1214767,EQ,11729,103.57,390054
2026-02-19,122.54,122.75,119.94,120.77,2029273,EQ,15720,129.09,1406541
2026-02-20,120.43,121.22,115.1,116.85,1601846,EQ,31521,50.82,984245
2026-02-23,115.09,118.16,113.16,117.13,1353269,EQ,16390,82.57,661982
2026-02-24,116.58,116.9,112.75,116.32,846924,EQ,9262,91.44,446288
2026-02-25,115.73,119.0,114.28,118.43,1406814,EQ,15007,93.74,780934
2026-02-26,118.7,124.0,117.18,121.2,1625655,EQ,37212,43.69,1084260
2026-02-27,120.01,122.55,120.0,121.14,535621,EQ,8412,63.67,328569
2026-03-02,114.5,121.92,114.5,120.59,1350770,EQ,21583,62.58,638461
2026-03-04,119.0,120.59,116.21,119.01,1343387,EQ,22268,60.33,728527
2026-03-05,119.89,124.9,119.89,124.11,1901133,EQ,22201,85.63,1004241
2026-03-06,124.06,124.3,117.35,119.95,978339,EQ,14171,69.04,466356
2026-03-09,119.95,119.96,111.55,115.02,1630893,EQ,52520,31.05,836835
2026-03-10,116.74,117.43,113.75,114.67,703368,EQ,33669,20.89,294548
2026-03-11,114.89,117.51,111.47,112.3,851254,EQ,36925,23.05,433774
2026-03-12,112.0,113.33,108.07,111.97,759179,EQ,34135,22.24,413994
2026-03-13,112.0,112.0,106.0,107.47,944363,EQ,48272,19.56,467061
2026-03-16,107.0,109.79,104.03,108.78,708953,EQ,14451,49.06,315799
2026-03-17,108.45,112.3,107.37,111.74,468607,EQ,11003,42.59,221557
2026-03-18,111.74,113.3,110.9,112.39,383555,EQ,9379,40.9,177100
2026-03-19,108.13,111.0,106.97,109.52,1469513,EQ,9871,148.87,1230948
2026-03-20,109.0,113.63,109.0,112.11,685224,EQ,8631,79.39,372255
2026-03-23,111.87,114.0,107.96,111.78,1032695,EQ,18473,55.9,565251
2026-03-24,111.78,114.2,110.29,113.58,509782,EQ,12993,39.24,232324
2026-03-25,113.0,118.0,113.0,116.99,2284365,EQ,40816,55.97,1327489
2026-03-27,114.53,117.0,112.6,116.03,1244363,EQ,21708,57.32,780596
2026-03-30,115.0,115.91,111.11,114.87,719520,EQ,15992,44.99,317461
2026-04-01,115.38,118.53,115.31,117.6,726992,EQ,12516,58.09,376139
2026-04-02,117.29,118.43,113.69,117.04,390394,EQ,12354,31.6,166326
2026-04-06,114.9,118.5,114.55,117.85,653038,EQ,8471,77.09,295362
2026-04-07,117.56,120.7,117.01,118.26,498036,EQ,8979,55.47,183722
2026-04-08,122.5,126.8,121.27,124.28,3403338,EQ,41629,81.75,2238616
2026-04-09,123.66,128.0,123.0,124.09,1013287,EQ,17624,57.49,501412
2026-04-10,125.1,136.4,124.94,132.34,5965068,EQ,66447,89.77,2937439
2026-04-13,128.0,140.0,127.3,138.35,2418825,EQ,27227,88.84,1154887
2026-04-15,136.97,145.0,136.97,143.06,3420168,EQ,55998,61.08,2028353
2026-04-16,143.0,143.0,136.1,140.82,1576942,EQ,36448,43.27,622267
2026-04-17,141.04,145.32,139.0,140.44,1489427,EQ,29297,50.84,865316
2026-04-20,139.49,147.9,138.0,146.13,2005079,EQ,40286,49.77,1072157
2026-04-21,145.2,156.1,144.68,154.47,3481865,EQ,43513,80.02,1818841
2026-04-22,153.0,161.0,152.94,158.7,2087793,EQ,21004,99.4,1036073
2026-04-23,156.1,160.0,148.81,155.01,3460154,EQ,44454,77.84,1516190
2026-04-24,155.0,155.9,149.11,150.56,954866,EQ,13809,69.15,401306
2026-04-27,152.08,157.8,151.56,156.26,1039416,EQ,25375,40.96,509133
2026-04-28,155.81,161.0,153.75,155.87,1753873,EQ,18180,96.47,592218
2026-04-29,157.08,172.98,156.0,166.04,3289005,EQ,39853,82.53,1215244
2026-04-30,164.99,171.09,161.0,165.78,2803041,EQ,42732,65.6,1301866
2026-05-04,166.0,173.7,166.0,172.08,2665785,EQ,46328,57.54,1347503
2026-05-05,172.9,176.9,166.4,170.45,1790419,EQ,29846,59.99,710764
2026-05-06,171.8,173.6,163.61,167.29,1814046,EQ,26360,68.82,922774
2026-05-07,168.9,173.5,168.3,170.02,895336,EQ,11443,78.24,305870
2026-05-08,170.02,177.01,167.01,169.48,1289599,EQ,15977,80.72,494236
2026-05-11,167.48,174.21,162.02,164.72,2454229,EQ,21636,113.43,1489047
2026-05-12,165.9,166.5,161.91,163.71,1397809,EQ,18780,74.43,859013
2026-05-13,165.0,169.5,161.21,168.42,1527659,EQ,20182,75.69,773428
2026-05-14,169.9,170.4,163.5,164.45,1933504,EQ,21174,91.32,1311274
2026-05-15,182.4,192.81,174.22,188.57,25861859,EQ,195026,132.61,6632683
2026-05-18,187.69,197.63,183.15,185.61,6824448,EQ,87425,78.06,1796814
2026-05-19,186.9,194.34,186.53,189.45,4168807,EQ,63864,65.28,2226179
2026-05-20,194.4,197.1,185.75,195.33,6203569,EQ,62666,98.99,2793225
2026-05-21,195.33,211.77,194.99,205.42,9531358,EQ,110440,86.3,3663468
2026-05-22,207.25,207.25,200.09,201.28,2786415,EQ,44853,62.12,1484946
2026-05-25,202.4,209.43,195.22,199.86,6432853,EQ,67226,95.69,4000144
2026-05-26,201.7,203.94,198.02,198.63,1230339,EQ,23564,52.21,563229
2026-05-27,200.85,203.2,193.11,194.94,1618339,EQ,26317,61.49,699172
2026-05-29,196.09,198.8,188.96,192.99,1581826,EQ,21970,72.0,678213
2026-06-01,193.0,194.89,184.21,191.24,3822076,EQ,31570,121.07,2326380
2026-06-02,191.0,198.5,185.55,191.03,1662810,EQ,19888,83.61,617200
2026-06-03,192.59,198.95,190.42,195.33,1469239,EQ,24841,59.15,659400
2026-06-04,194.4,205.97,193.29,203.62,2539323,EQ,31102,81.65,1148620
