Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,29.5,29.5,26.5,27.7,1844,EQ,19,97.05,1429
2026-04-21,29.2,29.2,27.0,27.0,3985,EQ,46,86.63,3412
2026-04-22,29.4,29.4,27.0,28.9,3105,EQ,78,39.81,2952
2026-04-23,29.7,29.7,27.0,28.85,1137,EQ,20,56.85,1130
2026-04-24,30.6,30.6,27.1,27.7,1083,EQ,34,31.85,1020
2026-04-27,29.65,29.65,27.6,28.9,2562,EQ,70,36.6,2506
2026-04-28,28.85,31.95,27.25,28.6,2196,EQ,64,34.31,1819
2026-04-29,30.6,30.6,26.85,28.3,1129,EQ,56,20.16,768
2026-04-30,28.3,30.6,27.0,27.9,390,EQ,31,12.58,364
2026-05-04,28.46,31.5,26.62,29.94,741,EQ,75,9.88,712
2026-05-05,30.05,30.96,27.82,30.24,1133,EQ,54,20.98,1048
2026-05-06,33.3,33.3,29.06,30.94,1378,EQ,56,24.61,1348
2026-05-07,30.32,32.0,29.5,30.8,1391,EQ,42,33.12,1339
2026-05-08,29.4,32.75,25.0,31.18,9260,EQ,109,84.95,5585
2026-05-11,33.5,33.82,28.83,29.44,15075,EQ,222,67.91,9367
2026-05-12,32.95,33.0,28.95,29.55,7836,EQ,80,97.95,3919
2026-05-13,31.49,31.49,27.0,28.13,5307,EQ,56,94.77,3585
2026-05-14,30.6,31.87,28.01,29.13,6613,EQ,92,71.88,4124
2026-05-15,31.03,31.48,29.44,30.2,2141,EQ,71,30.15,1367
2026-05-18,30.55,30.55,27.9,28.19,7218,EQ,132,54.68,3853
2026-05-19,27.6,30.52,27.6,29.64,711,EQ,30,23.7,631
2026-05-20,29.6,29.6,27.5,28.98,1440,EQ,19,75.79,1339
2026-05-21,28.86,28.89,26.0,26.57,7386,EQ,63,117.24,5577
2026-05-22,27.2,31.88,27.2,27.71,56869,EQ,528,107.71,30477
2026-05-25,28.7,30.19,27.76,28.57,3247,EQ,65,49.95,2012
2026-05-26,29.52,29.52,27.8,28.12,749,EQ,25,29.96,731
2026-05-27,29.9,29.9,26.8,27.16,8194,EQ,86,95.28,7726
2026-05-29,26.5,29.57,26.5,28.25,3217,EQ,27,119.15,3200
2026-06-01,31.0,31.0,26.65,27.83,2587,EQ,247,10.47,2495
2026-06-02,27.3,28.8,27.0,28.45,2929,EQ,28,104.61,2206
2026-06-03,26.5,28.41,26.5,27.24,897,EQ,33,27.18,872
2026-06-04,29.8,29.8,26.6,27.57,6411,EQ,88,72.85,4605
2026-06-05,27.57,28.19,27.0,27.99,1639,EQ,20,81.95,1470
2026-06-08,26.0,29.25,26.0,28.03,3803,EQ,54,70.43,2932
2026-06-09,29.0,29.0,27.5,28.4,2803,EQ,16,175.19,1909
2026-06-10,28.0,29.5,27.5,29.37,6413,EQ,76,84.38,6159
2026-06-11,29.37,29.37,26.59,29.33,5477,EQ,28,195.61,5477
2026-06-12,30.0,30.0,27.63,29.31,3313,EQ,21,157.76,2267
2026-06-15,29.8,29.8,26.12,27.62,2194,EQ,29,75.66,2126
2026-06-16,26.4,29.78,26.4,29.58,482,EQ,19,25.37,236
2026-06-17,29.65,29.8,28.0,28.38,3147,EQ,34,92.56,2888
2026-06-18,29.4,29.94,28.32,29.9,776,EQ,21,36.95,734
2026-06-19,24.21,29.9,24.21,29.38,6468,EQ,69,93.74,5065
2026-06-22,28.0,29.35,28.0,28.3,6949,EQ,38,182.87,6949
2026-06-23,30.59,30.59,28.41,29.23,2505,EQ,42,59.64,2378
2026-06-24,29.69,29.69,28.5,28.5,464,EQ,5,92.8,463
2026-06-25,29.49,29.49,27.38,29.03,3558,EQ,14,254.14,2739
