Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,173.5,177.2,173.5,176.4,524,EQ,8,65.5,506
2026-04-21,171.05,174.0,166.0,174.0,746,EQ,30,24.87,740
2026-04-22,178.95,179.0,166.35,173.95,1160,EQ,30,38.67,1139
2026-04-23,160.05,175.95,160.05,172.45,867,EQ,32,27.09,856
2026-04-24,170.1,177.9,170.0,177.05,460,EQ,13,35.38,454
2026-04-27,177.05,177.85,166.0,167.35,1081,EQ,30,36.03,1078
2026-04-28,173.5,173.5,173.5,173.5,1,EQ,1,1.0,1
2026-04-29,166.5,174.75,165.95,174.75,394,EQ,15,26.27,392
2026-04-30,168.5,174.4,162.0,170.5,464,EQ,26,17.85,436
2026-05-04,172.25,174.3,170.15,170.45,777,EQ,34,22.85,751
2026-05-05,170.0,170.0,162.0,168.15,1049,EQ,19,55.21,1037
2026-05-06,167.5,175.0,162.0,173.96,1088,EQ,71,15.32,1035
2026-05-07,174.0,174.0,167.5,168.04,754,EQ,19,39.68,754
2026-05-08,168.04,177.0,165.0,177.0,1343,EQ,35,38.37,1343
