Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,148.2,151.0,147.15,148.8,45854,EQ,308,148.88,4856
2026-04-21,152.05,152.05,140.15,148.0,101507,EQ,625,162.41,9729
2026-04-22,149.95,150.0,146.2,147.45,85917,EQ,538,159.7,3415
2026-04-23,149.8,149.9,147.05,148.05,199436,EQ,1176,169.59,111566
2026-04-24,149.6,149.6,147.0,147.75,149059,EQ,596,250.1,56050
2026-04-27,149.9,149.9,144.05,147.45,110457,EQ,356,310.27,12737
2026-04-28,148.75,149.0,146.3,147.75,409443,EQ,533,768.19,208368
2026-04-29,148.9,149.65,145.3,146.65,127867,EQ,360,355.19,39158
2026-04-30,147.0,150.0,145.6,148.45,135920,EQ,479,283.76,6523
2026-05-04,149.5,150.0,146.07,149.49,166074,EQ,1004,165.41,25907
2026-05-05,149.98,149.99,147.25,148.83,114071,EQ,290,393.35,1874
2026-05-06,150.0,151.89,148.0,150.84,119736,EQ,362,330.76,8755
2026-05-07,150.84,179.7,150.84,152.93,117882,EQ,380,310.22,26291
2026-05-08,156.0,157.19,151.01,153.49,146282,EQ,777,188.27,12468
2026-05-11,153.2,153.2,147.05,149.42,172454,EQ,1187,145.29,17816
2026-05-12,149.99,149.99,145.0,145.86,164581,EQ,796,206.76,31965
2026-05-13,146.23,163.0,145.01,148.78,154241,EQ,731,211.0,7141
2026-05-14,150.0,154.08,149.8,152.15,162825,EQ,829,196.41,10708
2026-05-15,151.11,157.71,149.9,154.64,299758,EQ,1451,206.59,128941
2026-05-18,155.46,155.46,149.15,150.91,170521,EQ,1454,117.28,16771
2026-05-19,152.45,155.0,151.01,153.57,158197,EQ,875,180.8,10188
2026-05-20,151.5,156.59,151.5,154.97,107212,EQ,536,200.02,15274
2026-05-21,155.46,162.0,151.69,156.31,130812,EQ,935,139.91,11915
2026-05-22,157.0,157.99,153.57,156.11,113203,EQ,759,149.15,5229
2026-05-25,158.0,163.8,154.04,158.39,134300,EQ,532,252.44,3958
2026-05-26,157.02,162.58,157.02,159.51,137882,EQ,418,329.86,7576
2026-05-27,162.54,163.08,152.1,159.28,153176,EQ,826,185.44,8746
2026-05-29,157.99,158.0,151.0,154.7,131842,EQ,700,188.35,19740
2026-06-01,158.9,158.9,154.02,154.84,105927,EQ,240,441.36,9927
2026-06-02,155.23,157.51,154.35,155.14,128572,EQ,427,301.11,4511
2026-06-03,156.88,157.32,155.0,156.28,110174,EQ,245,449.69,3674
2026-06-04,156.5,156.97,141.2,154.81,91432,EQ,480,190.48,8911
2026-06-05,156.99,156.99,154.0,154.91,93947,EQ,308,305.02,2792
2026-06-08,154.76,157.99,152.25,154.48,83425,EQ,331,252.04,4473
