Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,40.0,47.0,35.45,42.6,7688,EQ,129,59.6,6763
2026-04-21,46.6,46.65,35.0,39.7,2906,EQ,103,28.21,1449
2026-04-22,40.0,43.3,39.5,42.0,2261,EQ,127,17.8,1748
2026-04-23,49.5,49.5,42.2,44.55,2914,EQ,155,18.8,2367
2026-04-24,47.95,47.95,39.0,39.9,3735,EQ,89,41.97,2310
2026-04-27,47.3,47.85,43.0,47.85,48733,EQ,722,67.5,17042
2026-04-28,48.9,56.0,47.0,47.9,41810,EQ,913,45.79,21045
2026-04-29,47.0,52.5,47.0,47.15,11100,EQ,179,62.01,7274
2026-04-30,49.9,49.9,40.7,43.15,8200,EQ,267,30.71,6058
2026-05-04,49.89,49.89,40.0,42.41,5575,EQ,309,18.04,3518
2026-05-05,48.6,48.75,42.17,43.15,9698,EQ,348,27.87,5630
2026-05-06,47.9,47.9,41.9,45.55,3812,EQ,136,28.03,1957
2026-05-07,47.0,49.0,44.01,46.29,3732,EQ,90,41.47,2652
2026-05-08,46.65,47.88,42.06,45.45,3035,EQ,59,51.44,2208
2026-05-11,49.7,49.71,40.6,42.33,958,EQ,35,27.37,876
2026-05-12,42.5,45.0,40.0,42.37,1955,EQ,122,16.02,1306
2026-05-13,42.37,45.98,42.37,42.98,677,EQ,38,17.82,572
2026-05-14,42.0,44.4,42.0,44.26,113,EQ,4,28.25,101
2026-05-15,41.7,46.29,41.7,41.86,1797,EQ,48,37.44,977
2026-05-18,41.5,45.77,39.85,41.14,222,EQ,19,11.68,191
2026-05-19,41.15,46.5,41.14,45.36,3104,EQ,118,26.31,2062
2026-05-20,46.96,47.66,41.25,42.11,1248,EQ,73,17.1,878
2026-05-21,45.7,45.7,42.15,43.2,614,EQ,37,16.59,220
2026-05-22,44.3,46.5,42.0,42.03,1124,EQ,56,20.07,834
2026-05-25,46.3,46.3,40.85,42.56,526,EQ,48,10.96,257
2026-05-26,37.3,43.8,37.3,42.05,3541,EQ,69,51.32,1729
2026-05-27,43.0,43.0,40.21,42.45,1052,EQ,16,65.75,735
2026-05-29,42.45,42.45,42.44,42.44,139,EQ,4,34.75,139
2026-06-01,40.0,43.7,38.0,39.2,1400,EQ,34,41.18,1085
2026-06-02,39.2,40.79,39.2,40.55,105,EQ,12,8.75,105
2026-06-03,44.5,44.5,40.0,42.16,2791,EQ,80,34.89,1818
2026-06-04,42.16,44.0,38.99,39.34,1494,EQ,20,74.7,1133
2026-06-05,40.7,43.5,40.6,42.7,1958,EQ,42,46.62,1223
2026-06-08,44.0,44.0,42.4,43.51,1504,EQ,35,42.97,1283
2026-06-09,43.4,43.4,42.01,42.96,145,EQ,8,18.12,78
2026-06-10,43.5,43.5,42.8,42.82,87,EQ,11,7.91,50
2026-06-12,45.0,45.12,40.3,43.31,1357,EQ,39,34.79,762
2026-06-15,43.31,43.31,40.61,41.13,49,EQ,6,8.17,35
2026-06-16,41.95,43.96,41.0,43.96,1372,EQ,26,52.77,202
2026-06-17,43.96,43.96,42.79,42.79,110,EQ,15,7.33,71
2026-06-18,43.75,45.0,40.84,42.94,1985,EQ,32,62.03,1795
2026-06-19,45.85,45.85,40.51,43.89,130,EQ,11,11.82,116
