Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-17,188.5,191.0,182.6,184.88,23282861,EQ,155356.0,149.87,13115935.0
2025-09-18,187.0,193.99,185.5,189.68,12782002,EQ,79465.0,160.85,3634651.0
2025-09-19,189.39,192.3,187.62,189.62,3233366,EQ,21391.0,151.16,1306617.0
2025-09-22,190.5,198.3,189.1,191.07,5796410,EQ,37855.0,153.12,1757975.0
2025-09-23,191.8,193.79,189.35,191.67,2430170,EQ,13029.0,186.52,803113.0
2025-09-24,191.61,193.0,187.17,189.63,2474277,EQ,14001.0,176.72,867762.0
2025-09-25,190.0,193.43,184.1,188.44,2144531,EQ,10823.0,198.15,772855.0
2025-09-26,188.49,190.25,180.6,184.29,2399903,EQ,10787.0,222.48,1205880.0
2025-09-29,182.0,184.9,181.1,182.83,1168524,EQ,6084.0,192.07,453318.0
2025-09-30,184.0,184.63,177.51,179.17,998824,EQ,5664.0,176.35,376236.0
2025-10-01,179.0,185.0,179.0,183.46,544600,EQ,4681.0,116.34,250912.0
2025-10-03,182.55,190.08,182.32,188.41,1137346,EQ,9202.0,123.6,555456.0
2025-10-06,189.49,205.9,189.49,200.51,5474011,EQ,43621.0,125.49,1593447.0
2025-10-07,201.8,208.6,199.66,206.03,4012875,EQ,24132.0,166.29,998834.0
2025-10-08,207.75,210.5,201.61,204.81,9238370,EQ,41826.0,220.88,2234698.0
2025-10-09,203.79,211.5,203.41,208.01,4017738,EQ,16500.0,243.5,1041818.0
2025-10-10,208.0,213.35,206.24,211.64,3036652,EQ,13842.0,219.38,583429.0
2025-10-13,211.01,211.45,201.65,205.25,1448193,EQ,10647.0,136.02,547885.0
2025-10-14,203.42,203.42,195.7,197.51,2132530,EQ,10534.0,202.44,825601.0
2025-10-15,197.1,200.69,192.6,193.89,1314326,EQ,7617.0,172.55,370438.0
2025-10-16,194.26,197.5,191.0,196.01,1159088,EQ,6945.0,166.9,506246.0
2025-10-17,196.9,198.19,190.0,197.11,1927178,EQ,7285.0,264.54,966314.0
2025-10-20,199.0,202.0,196.0,200.91,1041450,EQ,5652.0,184.26,313672.0
2025-10-21,203.8,205.2,202.5,204.69,528629,EQ,2742.0,192.79,213842.0
2025-10-23,209.0,209.0,204.45,207.38,1381432,EQ,6188.0,223.24,573202.0
2025-10-24,208.95,217.0,204.42,213.78,2443138,EQ,13373.0,182.69,782406.0
2025-10-27,214.5,217.4,208.27,209.91,2445602,EQ,17665.0,138.44,970721.0
2025-10-28,209.91,211.76,207.63,210.56,1903877,EQ,7325.0,259.91,753199.0
2025-10-29,211.84,218.08,210.56,216.28,2238285,EQ,7896.0,283.47,898429.0
2025-10-30,217.76,226.85,215.52,224.17,3762522,EQ,14997.0,250.88,1269745.0
2025-10-31,224.99,227.0,221.65,225.27,1591622,EQ,7477.0,212.87,616260.0
2025-11-03,226.94,235.0,222.5,232.24,2595699,EQ,10319.0,251.55,681163.0
2025-11-04,233.68,237.4,227.5,229.31,2206469,EQ,12105.0,182.28,474804.0
2025-11-06,228.5,228.95,221.01,223.87,1505890,EQ,7538.0,199.77,562937.0
2025-11-07,223.0,227.0,220.07,224.23,1345960,EQ,5521.0,243.79,296762.0
2025-11-10,226.02,227.46,220.14,223.37,1234419,EQ,5716.0,215.96,502808.0
2025-11-11,225.26,225.26,216.78,219.04,1564087,EQ,7721.0,202.58,551516.0
2025-11-12,220.68,225.94,216.5,218.74,1634665,EQ,9083.0,179.97,689381.0
2025-11-13,219.0,222.0,210.36,212.52,2160383,EQ,11381.0,189.82,874199.0
2025-11-14,213.4,217.5,211.04,215.88,1290500,EQ,6055.0,213.13,306769.0
2025-11-17,216.49,219.4,210.1,217.47,1045794,EQ,6267.0,166.87,377001.0
2025-11-18,217.99,223.98,215.41,222.21,2030490,EQ,9304.0,218.24,508673.0
2025-11-19,223.0,227.3,221.0,225.9,1347210,EQ,6572.0,204.99,427120.0
2025-11-20,228.15,230.49,225.64,227.02,2160417,EQ,8392.0,257.44,614601.0
2025-11-21,227.87,229.78,223.5,225.38,1961113,EQ,6139.0,319.45,710963.0
2025-11-24,226.92,227.89,223.41,224.83,841494,EQ,3481.0,241.74,306423.0
2025-11-25,225.18,225.57,220.0,223.32,425153,EQ,2599.0,163.58,162824.0
2025-11-26,223.9,227.25,222.52,226.46,538026,EQ,3296.0,163.24,102309.0
2025-11-27,227.35,229.4,224.15,224.87,507662,EQ,2224.0,228.27,141276.0
2025-11-28,225.09,228.9,219.39,223.09,1225805,EQ,4795.0,255.64,425245.0
2025-12-01,224.0,230.0,219.83,222.25,1447284,EQ,7087.0,204.22,455704.0
2025-12-02,221.71,222.87,217.52,220.18,861467,EQ,4007.0,214.99,284401.0
2025-12-03,220.4,224.9,218.07,221.75,1327946,EQ,5662.0,234.54,395361.0
2025-12-04,221.88,223.9,220.2,221.35,447964,EQ,2249.0,199.18,205504.0
2025-12-05,221.2,221.85,217.27,219.37,587259,EQ,2855.0,205.69,207028.0
2025-12-08,220.8,224.95,202.5,205.1,1447895,EQ,7161.0,202.19,1028736.0
2025-12-09,204.0,209.4,199.05,207.9,978086,EQ,4373.0,223.66,528986.0
2025-12-10,208.45,209.18,203.85,206.08,837894,EQ,2950.0,284.03,620639.0
2025-12-11,206.29,206.29,192.87,194.57,1903201,EQ,8153.0,233.44,1252636.0
2025-12-12,195.0,198.5,190.55,196.61,1345801,EQ,5584.0,241.01,606050.0
2025-12-15,197.43,207.0,194.68,205.58,1491617,EQ,8484.0,175.82,474496.0
2025-12-16,205.37,205.37,197.92,199.74,1219356,EQ,5012.0,243.29,749873.0
2025-12-17,201.5,214.49,199.2,209.8,4499954,EQ,25021.0,179.85,1406074.0
2025-12-18,211.35,218.5,210.06,215.97,2473540,EQ,10909.0,226.74,790693.0
2025-12-19,217.2,221.4,216.4,220.43,1935945,EQ,5850.0,330.93,565788.0
2025-12-22,221.9,228.0,220.9,227.37,1471251,EQ,4920.0,299.03,474102.0
2025-12-23,228.69,230.8,225.01,226.52,1050729,EQ,4485.0,234.28,369782.0
2025-12-24,227.19,230.49,226.0,227.87,926707,EQ,3321.0,279.04,287999.0
2025-12-26,228.3,228.43,225.0,225.78,514496,EQ,2118.0,242.92,180643.0
2025-12-29,225.71,225.78,217.81,219.89,997060,EQ,3394.0,293.77,442677.0
2025-12-30,220.9,225.74,219.41,220.45,640680,EQ,4670.0,137.19,152767.0
2025-12-31,221.27,232.5,221.27,225.97,2271321,EQ,8954.0,253.67,853037.0
2026-01-01,228.97,239.85,228.97,238.11,3362460,EQ,17150.0,196.06,788827.0
2026-01-02,238.6,243.4,235.53,240.43,3539128,EQ,11332.0,312.31,1368870.0
2026-01-05,240.5,241.38,235.0,236.83,1153982,EQ,4709.0,245.06,457147.0
2026-01-06,237.05,241.0,234.21,237.51,1099127,EQ,4068.0,270.19,310238.0
2026-01-07,237.41,245.92,237.0,242.72,2343719,EQ,9513.0,246.37,781427.0
2026-01-08,242.9,245.0,235.01,237.42,916671,EQ,6969.0,131.54,371398.0
2026-01-09,237.39,238.34,227.35,230.82,1334883,EQ,7293.0,183.04,551343.0
2026-01-12,230.79,231.84,221.89,223.72,1141536,EQ,6500.0,175.62,407256.0
2026-01-13,224.39,229.19,221.42,223.56,753355,EQ,3275.0,230.03,386253.0
2026-01-14,223.59,226.0,221.4,224.28,746524,EQ,4491.0,166.23,198309.0
2026-01-16,225.0,250.7,225.0,243.85,6825043,EQ,41861.0,163.04,1557486.0
2026-01-19,244.0,249.2,242.2,243.65,1095188,EQ,8549.0,128.11,394268.0
2026-01-20,243.65,246.99,227.72,229.92,1317622,EQ,8189.0,160.9,759291.0
2026-01-21,229.91,233.29,225.0,228.71,1219043,EQ,9177.0,132.84,391088.0
2026-01-22,230.1,237.0,227.5,229.14,383220,EQ,3399.0,112.74,160336.0
2026-01-23,230.0,230.5,220.63,222.33,1084263,EQ,5834.0,185.85,393602.0
2026-01-27,224.27,225.0,219.02,221.69,1044864,EQ,5435.0,192.25,372474.0
2026-01-28,222.1,226.9,222.1,224.2,427930,EQ,3559.0,120.24,130142.0
2026-01-29,224.59,226.9,220.74,221.51,308212,EQ,3436.0,89.7,117477.0
2026-01-30,221.5,222.5,215.0,216.6,662478,EQ,4529.0,146.27,205327.0
2026-02-01,216.99,217.18,207.57,214.91,788023,EQ,5099.0,154.54,201999.0
2026-02-02,214.91,218.84,210.01,214.63,381446,EQ,2360.0,161.63,165469.0
2026-02-03,225.97,227.83,219.65,223.5,806213,EQ,3808.0,211.72,103328.0
2026-02-04,224.55,230.0,223.61,226.86,749938,EQ,4659,160.97,121786
2026-02-05,228.0,228.01,222.18,223.57,218806,EQ,2276,96.14,106641
2026-02-06,223.6,224.72,217.85,219.89,724046,EQ,3482,207.94,426997
2026-02-09,221.2,237.5,220.16,233.73,3610902,EQ,12534,288.09,1297805
2026-02-10,235.0,240.4,233.95,238.79,1700455,EQ,9277,183.3,401624
2026-02-11,240.1,242.0,235.01,236.64,1248110,EQ,6432,194.05,506925
2026-02-12,237.0,243.78,232.2,240.04,3811739,EQ,17898,212.97,751120
2026-02-13,239.5,241.25,234.31,236.79,1150176,EQ,6208,185.27,206428
2026-02-16,236.61,239.8,233.4,238.17,710760,EQ,4691,151.52,157759
2026-02-17,238.0,256.25,237.5,254.69,4414404,EQ,23009,191.86,1407118
2026-02-18,256.89,264.0,255.0,261.86,2835527,EQ,13643,207.84,796771
2026-02-19,264.4,266.5,250.42,253.35,2156122,EQ,12538,171.97,629646
2026-02-20,253.55,259.9,245.0,245.92,1718941,EQ,7653,224.61,587490
2026-02-23,247.1,256.0,243.5,251.93,1817900,EQ,9391,193.58,509247
2026-02-24,252.0,252.69,244.5,245.43,628956,EQ,4860,129.41,235686
2026-02-25,246.5,254.44,245.52,249.12,1469248,EQ,9023,162.83,453420
2026-02-26,250.5,252.2,244.61,245.56,569791,EQ,4664,122.17,171974
2026-02-27,245.87,247.0,231.25,234.17,1035774,EQ,7132,145.23,395460
2026-03-02,230.0,231.99,215.82,219.01,1062171,EQ,9964,106.6,472799
2026-03-04,217.0,217.0,209.25,211.63,1346384,EQ,8114,165.93,621186
2026-03-05,214.5,221.86,214.4,217.26,936049,EQ,7401,126.48,279125
2026-03-06,219.0,220.92,210.0,211.37,529677,EQ,4724,112.12,117996
2026-03-09,209.5,209.5,199.19,200.94,449532,EQ,5767,77.95,169914
2026-03-10,205.94,212.96,203.37,210.42,706203,EQ,6555,107.74,178367
2026-03-11,212.9,214.0,203.0,204.28,1001940,EQ,8041,124.6,375289
2026-03-12,204.05,205.05,198.0,200.06,417235,EQ,6159,67.74,183681
2026-03-13,201.9,201.9,190.0,192.73,508514,EQ,6460,78.72,215185
2026-03-16,193.7,195.43,184.6,187.19,690238,EQ,7630,90.46,278718
2026-03-17,189.8,190.26,184.96,186.38,475542,EQ,6147,77.36,233644
2026-03-18,188.0,208.0,187.0,202.19,1948337,EQ,16634,117.13,472218
