Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-14,42.04,43.4,40.06,41.42,1113804,EQ,7701,144.63,429248
2026-08-17,44.39,44.39,41.4,41.44,1136748,EQ,4686,242.58,809724
2026-08-18,42.48,42.78,41.51,41.55,1250990,EQ,2294,545.33,784281
2026-08-19,42.0,43.14,41.51,42.67,889499,EQ,2662,334.15,389012
2026-08-20,43.73,45.78,42.89,43.33,416182,EQ,2733,152.28,261899
2026-08-21,44.02,44.5,42.6,44.06,1048348,EQ,2619,400.29,576925
2026-08-24,45.25,45.25,44.04,44.07,694253,EQ,2189,317.16,492779
2026-08-25,44.07,44.94,44.07,44.08,1374828,EQ,2117,649.42,814519
2026-08-26,44.09,46.16,44.09,44.18,2435650,EQ,4042,602.59,1210863
2026-08-27,44.9,45.34,44.2,44.22,1003469,EQ,2249,446.18,664961
2026-08-28,44.25,45.33,44.25,44.28,901483,EQ,1723,523.21,486648
2026-08-31,46.99,46.99,44.29,44.39,1624555,EQ,3278,495.59,674540
2026-09-01,44.54,46.4,44.34,44.43,1832377,EQ,3463,529.13,1283898
2026-09-02,44.52,47.24,44.52,46.79,2933344,EQ,7002,418.93,1254346
2026-09-03,47.37,54.9,47.1,51.93,8949935,EQ,29534,303.04,3197485
2026-09-04,53.39,55.54,51.66,51.93,4036493,EQ,13652,295.67,1533308
