Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,55.5,55.9,52.45,54.55,4317,EQ,61,70.77,3959
2026-04-21,56.55,56.55,52.55,54.9,15316,EQ,173,88.53,11526
2026-04-22,56.45,56.45,52.75,53.2,14406,EQ,158,91.18,12435
2026-04-23,53.0,54.8,52.35,53.65,24741,EQ,252,98.18,19180
2026-04-24,54.95,54.95,52.2,52.7,16921,EQ,159,106.42,11723
2026-04-27,54.0,54.55,52.25,54.1,10368,EQ,105,98.74,8044
2026-04-28,54.1,55.45,53.0,53.65,5782,EQ,61,94.79,4572
2026-04-29,54.85,56.85,53.1,53.65,7992,EQ,104,76.85,4291
2026-04-30,53.4,54.7,53.2,53.55,4126,EQ,54,76.41,3573
2026-05-04,51.1,54.25,51.1,52.92,8733,EQ,64,136.45,6829
2026-05-05,52.9,53.45,52.35,52.35,3338,EQ,28,119.21,3338
2026-05-06,52.8,54.42,52.52,52.89,18457,EQ,93,198.46,15631
2026-05-07,53.89,59.0,52.9,57.34,27204,EQ,248,109.69,19683
2026-05-08,57.34,59.5,53.31,54.74,47920,EQ,577,83.05,31106
