Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,988.0,988.0,936.0,958.85,4393,EQ,464,9.47,3151
2026-04-21,948.0,990.0,948.0,981.25,8874,EQ,691,12.84,5693
2026-04-22,989.9,1019.95,978.0,995.5,23289,EQ,1985,11.73,12486
2026-04-23,980.55,1015.0,980.55,998.7,10960,EQ,741,14.79,5296
2026-04-24,991.0,1017.95,972.35,984.0,15538,EQ,1414,10.99,7171
2026-04-27,1008.0,1049.95,985.05,1030.7,24556,EQ,1595,15.4,13839
2026-04-28,1041.0,1062.35,1029.0,1043.7,27703,EQ,1965,14.1,14358
2026-04-29,1050.0,1060.0,1031.6,1040.75,29668,EQ,1936,15.32,15538
2026-04-30,1055.7,1058.85,1000.0,1025.7,13388,EQ,1494,8.96,6725
2026-05-04,1041.1,1047.5,1006.1,1021.5,13762,EQ,1241,11.09,8209
2026-05-05,1006.2,1057.7,1006.2,1051.6,18703,EQ,1286,14.54,12505
2026-05-06,1051.9,1093.1,1043.4,1072.4,37257,EQ,3744,9.95,17624
2026-05-07,1076.6,1100.0,1076.6,1094.8,18310,EQ,1740,10.52,11232
2026-05-08,1107.5,1199.8,1075.0,1159.7,76567,EQ,5366,14.27,30355
2026-05-11,1069.2,1079.8,962.3,981.7,146016,EQ,9049,16.14,65586
2026-05-12,999.9,1005.0,927.0,932.0,36131,EQ,2669,13.54,21279
2026-05-13,935.0,980.0,935.0,956.2,25054,EQ,1870,13.4,12663
2026-05-14,964.8,972.2,934.1,936.9,10725,EQ,1092,9.82,6528
2026-05-15,945.4,945.4,900.0,915.9,11666,EQ,1303,8.95,7335
2026-05-18,915.8,915.8,870.1,889.2,33901,EQ,3155,10.75,18133
2026-05-19,882.1,900.0,882.1,888.1,10757,EQ,1304,8.25,5051
2026-05-20,880.1,916.1,872.4,905.2,14306,EQ,1404,10.19,6192
2026-05-21,915.5,938.3,902.3,918.9,16813,EQ,1897,8.86,8622
2026-05-22,929.7,939.9,906.7,913.3,8753,EQ,1072,8.17,4209
2026-05-25,915.2,945.0,904.1,935.0,21784,EQ,2527,8.62,10052
2026-05-26,925.6,945.0,925.6,936.0,11851,EQ,1286,9.22,6547
2026-05-27,940.0,949.0,912.3,918.5,11349,EQ,1436,7.9,5506
2026-05-29,943.3,943.3,900.0,910.7,16307,EQ,1256,12.98,9269
2026-06-01,915.2,927.85,871.35,885.6,25225,EQ,2198,11.48,12693
2026-06-02,895.0,910.35,880.0,897.8,17266,EQ,1781,9.69,8165
2026-06-03,904.4,908.0,885.0,903.6,8307,EQ,1261,6.59,3867
2026-06-04,908.15,914.95,872.4,884.1,14767,EQ,1818,8.12,8491
2026-06-05,890.0,940.95,890.0,931.5,35911,EQ,2955,12.15,16555
2026-06-08,929.0,929.0,899.1,915.3,14159,EQ,1542,9.18,8234
2026-06-09,915.3,928.0,900.0,914.2,11155,EQ,1314,8.49,6083
2026-06-10,914.2,933.0,901.0,904.75,6496,EQ,846,7.68,3999
2026-06-11,914.0,915.0,885.0,888.45,8276,EQ,1142,7.25,5019
2026-06-12,907.4,910.9,888.5,897.85,13674,EQ,1519,9.0,7746
