Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-12,180.1,198.0,180.0,191.82,12488,EQ,212.0,58.91,6743.0
2025-12-15,195.7,199.7,188.67,194.94,22077,EQ,313.0,70.53,8869.0
2025-12-16,195.0,198.99,190.02,194.88,4753,EQ,109.0,43.61,2961.0
2025-12-17,195.85,203.45,194.98,203.04,13421,EQ,262.0,51.23,7886.0
2025-12-18,197.96,206.94,197.96,202.3,6677,EQ,141.0,47.35,3528.0
2025-12-19,202.99,203.0,195.65,199.68,4877,EQ,123.0,39.65,2649.0
2025-12-22,204.67,217.8,202.0,214.89,36087,EQ,649.0,55.6,15893.0
2025-12-23,216.5,216.71,209.21,214.63,24190,EQ,516.0,46.88,14913.0
2025-12-24,215.7,223.44,213.78,219.61,31103,EQ,351.0,88.61,21800.0
2025-12-26,223.99,243.87,222.0,230.03,47902,EQ,883.0,54.25,21914.0
2025-12-29,235.79,261.42,230.2,257.08,140016,EQ,2639.0,53.06,31678.0
2025-12-30,251.99,254.95,225.25,231.43,220402,EQ,3341.0,65.97,98700.0
2025-12-31,233.2,237.0,224.99,229.4,49592,EQ,1207.0,41.09,26165.0
2026-01-01,230.55,233.97,225.1,225.87,34170,EQ,479.0,71.34,28072.0
2026-01-02,227.6,245.29,226.99,240.05,64618,EQ,837.0,77.2,38016.0
2026-01-05,244.85,249.4,233.44,236.38,149481,EQ,1655.0,90.32,79537.0
2026-01-06,239.0,242.35,238.55,241.72,73526,EQ,722.0,101.84,47732.0
2026-01-07,248.0,249.8,242.0,246.22,53954,EQ,879.0,61.38,25056.0
2026-01-08,248.21,248.21,230.41,234.77,71920,EQ,1101.0,65.32,42642.0
2026-01-09,237.83,240.34,235.21,240.08,52648,EQ,619.0,85.05,33725.0
2026-01-12,254.0,254.01,242.82,251.93,146939,EQ,1498.0,98.09,62212.0
2026-01-13,252.55,269.9,252.55,262.62,111523,EQ,2009.0,55.51,40206.0
2026-01-14,274.4,279.0,267.0,276.02,223764,EQ,2380.0,94.02,123979.0
2026-01-16,276.02,282.7,269.31,281.31,121138,EQ,1643.0,73.73,66876.0
2026-01-19,284.21,330.93,284.21,318.03,351858,EQ,5381.0,65.39,116398.0
2026-01-20,325.98,336.21,304.01,315.13,1114382,EQ,11876.0,93.83,388610.0
2026-01-21,323.01,333.0,316.9,320.85,201466,EQ,4211.0,47.84,77837.0
2026-01-22,321.99,321.99,251.16,291.64,342364,EQ,7975.0,42.93,89372.0
2026-01-23,299.25,319.58,299.25,311.68,129544,EQ,3359.0,38.57,46909.0
2026-01-27,313.0,343.69,313.0,334.58,510337,EQ,5817.0,87.73,246374.0
2026-01-28,326.21,354.0,326.21,349.62,365483,EQ,4546.0,80.4,128783.0
2026-01-29,360.08,389.0,360.07,380.24,326459,EQ,4388.0,74.4,173899.0
2026-01-30,374.0,374.0,308.02,327.11,796271,EQ,11112.0,71.66,389690.0
2026-02-01,335.28,335.28,264.52,271.8,505888,EQ,5325.0,95.0,212837.0
2026-02-02,264.54,265.0,218.02,237.38,789477,EQ,6084.0,129.76,554996.0
2026-02-03,248.06,272.29,239.95,261.7,770859,EQ,7121.0,108.25,436709.0
2026-02-04,272.01,282.0,268.01,278.15,233981,EQ,4908,47.67,86223
2026-02-05,263.99,264.0,237.42,247.43,523516,EQ,5544,94.43,340428
2026-02-06,237.99,241.39,232.57,240.47,500059,EQ,3773,132.54,332536
2026-02-09,248.71,260.0,248.7,254.99,229834,EQ,3474,66.16,134074
2026-02-10,254.39,256.0,251.52,255.14,229995,EQ,2859,80.45,104925
2026-02-11,257.8,260.53,253.26,258.93,252124,EQ,3487,72.3,127601
2026-02-12,256.61,258.97,255.19,256.89,103380,EQ,1630,63.42,58599
