Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-15,156.0,163.8,148.2,163.8,1466400,ST,1109,1322.27,1458600
2026-05-18,159.5,159.8,155.65,155.65,55800,ST,83,672.29,55200
2026-05-19,150.05,154.0,147.9,150.95,103200,ST,157,657.32,93600
2026-05-20,147.9,158.45,147.9,156.05,95400,ST,127,751.18,89400
2026-05-21,158.9,163.85,153.0,160.95,178200,ST,162,1100.0,167400
2026-05-22,159.55,167.45,155.0,157.2,109200,ST,123,887.8,95400
2026-05-25,155.5,160.0,154.5,155.6,34800,ST,51,682.35,31800
2026-05-26,154.5,158.5,151.9,155.55,21600,ST,34,635.29,21000
2026-05-27,156.0,157.75,153.1,156.45,15000,ST,25,600.0,13800
2026-05-29,154.25,157.0,148.8,153.75,162000,ST,170,952.94,157800
2026-06-01,156.45,156.45,146.1,147.75,30600,SM,41,746.34,27600
2026-06-02,147.75,147.75,139.1,141.15,67800,SM,84,807.14,55200
2026-06-03,142.55,142.55,133.6,136.15,98400,SM,118,833.9,73200
2026-06-04,134.5,147.75,134.5,140.55,92400,SM,79,1169.62,78000
2026-06-05,139.75,141.75,134.2,135.9,213000,SM,112,1901.79,190200
2026-06-08,132.0,133.95,132.0,133.45,23400,SM,31,754.84,19800
2026-06-09,133.7,138.9,133.7,136.0,74400,SM,74,1005.41,66600
2026-06-10,136.1,139.65,136.1,138.05,13800,SM,22,627.27,10200
2026-06-11,138.0,141.75,135.15,135.95,79200,SM,56,1414.29,74400
2026-06-12,137.0,139.85,136.0,138.25,15600,SM,25,624.0,10800
