Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-19,74.75,75.79,69.01,70.42,61428,EQ,1545,39.76,39379
2026-03-20,79.29,79.3,69.11,70.06,36536,EQ,992,36.83,15610
2026-03-23,70.06,70.62,66.0,68.15,35996,EQ,656,54.87,22234
2026-03-24,69.64,70.89,66.65,68.24,39456,EQ,1098,35.93,20900
2026-03-25,68.24,70.09,67.07,68.34,103884,EQ,2230,46.58,60373
2026-03-27,69.6,69.8,64.12,65.66,112659,EQ,1762,63.94,64915
2026-03-30,62.35,65.51,57.15,60.92,313483,EQ,4082,76.8,192404
2026-04-01,62.15,67.6,62.15,66.86,83354,EQ,1249,66.74,40177
2026-04-02,66.0,71.0,64.17,69.93,83685,EQ,1586,52.76,49074
2026-04-06,69.94,70.77,67.31,68.35,27406,EQ,823,33.3,13287
2026-04-07,68.05,69.0,66.01,66.21,26158,EQ,554,47.22,13793
2026-04-08,69.85,72.4,67.0,71.43,85394,EQ,1283,66.56,54412
2026-04-09,69.52,74.49,69.02,71.37,115023,EQ,1525,75.42,64134
2026-04-10,71.99,74.8,71.12,74.37,80749,EQ,894,90.32,62967
2026-04-13,73.99,77.25,72.11,76.72,46871,EQ,908,51.62,27252
2026-04-15,78.5,78.5,75.9,76.97,47534,EQ,516,92.12,34593
2026-04-16,77.38,77.38,75.41,76.12,26841,EQ,723,37.12,12049
2026-04-17,77.34,80.0,75.02,76.21,100629,EQ,1423,70.72,39831
2026-04-20,78.73,78.73,72.61,72.87,100791,EQ,1256,80.25,74805
2026-04-21,74.5,74.5,72.12,74.0,47481,EQ,811,58.55,24836
2026-04-22,74.55,75.87,73.01,75.28,27889,EQ,456,61.16,17310
2026-04-23,76.97,76.97,74.04,75.86,28150,EQ,452,62.28,20010
2026-04-24,74.51,75.09,72.3,72.84,17801,EQ,307,57.98,9212
2026-04-27,72.48,75.66,72.48,73.71,40948,EQ,1115,36.72,28912
2026-04-28,74.99,75.18,72.25,72.68,16803,EQ,308,54.56,10945
2026-04-29,74.01,74.3,72.0,72.29,24473,EQ,613,39.92,13571
2026-04-30,73.0,73.8,71.26,73.24,18625,EQ,305,61.07,11782
2026-05-04,74.83,74.99,72.42,73.1,11224,EQ,422,26.6,6101
2026-05-05,73.62,73.62,71.52,71.96,16066,EQ,492,32.65,14009
2026-05-06,73.54,73.58,72.45,72.84,8190,EQ,133,61.58,5431
2026-05-07,72.26,74.45,72.26,73.27,22304,EQ,544,41.0,15153
2026-05-08,72.54,74.38,71.0,71.82,31560,EQ,654,48.26,18407
2026-05-11,71.82,73.3,71.41,72.15,31015,EQ,1471,21.08,12763
2026-05-12,70.65,73.57,70.0,70.14,16119,EQ,829,19.44,7071
2026-05-13,70.7,72.5,70.12,70.55,10976,EQ,425,25.83,8461
2026-05-14,72.4,72.4,68.1,68.57,30417,EQ,648,46.94,17651
2026-05-15,69.5,69.89,66.97,67.21,20429,EQ,590,34.63,11822
2026-05-18,67.21,70.5,64.1,68.4,31246,EQ,1118,27.95,15094
2026-05-19,68.18,68.68,64.67,66.25,39233,EQ,771,50.89,23596
2026-05-20,67.8,67.8,65.65,66.87,8899,EQ,508,17.52,4206
2026-05-21,68.5,73.0,67.06,72.26,69149,EQ,1364,50.7,50417
2026-05-22,72.85,74.4,72.85,73.47,73530,EQ,1034,71.11,47883
2026-05-25,74.4,76.76,74.21,75.69,79413,EQ,948,83.77,50606
2026-05-26,76.5,77.0,74.0,74.58,39241,EQ,808,48.57,18002
2026-05-27,75.9,75.9,72.5,73.23,28523,EQ,797,35.79,18150
2026-05-29,74.9,75.19,68.36,69.91,106543,EQ,1469,72.53,67520
2026-06-01,69.91,71.19,69.15,69.32,17606,EQ,745,23.63,10828
2026-06-02,69.32,71.0,67.35,69.82,27744,EQ,1029,26.96,16051
2026-06-03,70.77,71.6,68.8,69.41,39953,EQ,537,74.4,20932
2026-06-04,70.4,71.0,68.5,69.57,49069,EQ,510,96.21,36089
2026-06-05,70.4,72.0,69.5,70.01,23080,EQ,684,33.74,13168
2026-06-08,69.99,70.89,69.05,69.27,20655,EQ,1020,20.25,8619
