Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-24,18.0,18.0,17.69,17.73,32886,EQ,97,339.03,26433
2026-06-25,17.88,17.88,17.73,17.76,21620,EQ,73,296.16,18896
2026-06-29,17.76,18.57,17.58,17.66,47914,EQ,125,383.31,38262
2026-06-30,17.83,17.83,17.6,17.75,39035,EQ,90,433.72,21303
2026-07-01,18.03,18.03,17.75,17.81,41674,EQ,91,457.96,23224
2026-07-02,17.89,17.98,17.82,17.96,41980,EQ,64,655.94,31639
2026-07-03,17.96,18.29,17.94,18.04,109472,EQ,119,919.93,82890
2026-07-06,18.28,18.68,17.88,18.08,172586,EQ,246,701.57,33873
2026-07-07,18.34,18.34,17.9,18.0,52748,EQ,119,443.26,30052
2026-07-08,18.0,18.0,17.53,17.55,90204,EQ,150,601.36,31504
