Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-21,99.8,99.8,99.8,99.8,2,EQ,1,2.0,2
2026-04-22,99.8,99.8,99.8,99.8,2,EQ,1,2.0,2
2026-04-28,104.75,104.75,104.75,104.75,1,EQ,1,1.0,1
2026-04-29,104.25,104.25,99.55,99.55,164,EQ,6,27.33,164
2026-04-30,99.5,104.5,99.5,104.4,123,EQ,7,17.57,123
2026-05-04,104.4,104.4,99.2,99.69,19,EQ,3,6.33,19
2026-05-05,99.69,99.69,99.69,99.69,10,EQ,2,5.0,10
2026-05-06,99.68,99.68,99.0,99.0,403,EQ,3,134.33,403
2026-05-07,98.51,98.51,97.51,97.51,42,EQ,3,14.0,42
2026-05-08,96.5,96.5,96.5,96.5,1,EQ,1,1.0,1
2026-05-11,96.5,96.5,94.0,94.0,147,EQ,8,18.38,147
2026-05-12,93.0,93.0,92.25,92.25,190,EQ,3,63.33,190
2026-05-13,92.25,92.25,92.25,92.25,2,EQ,1,2.0,2
2026-05-14,92.9,92.9,92.3,92.3,16,EQ,4,4.0,16
2026-05-20,92.3,92.3,87.69,92.0,258,EQ,10,25.8,232
2026-05-21,92.0,92.0,92.0,92.0,1,EQ,1,1.0,1
2026-05-25,87.4,88.1,87.4,87.8,127,EQ,10,12.7,114
2026-05-26,88.25,88.25,87.4,87.4,77,EQ,8,9.62,77
2026-05-27,87.45,87.5,87.45,87.5,20,EQ,7,2.86,20
2026-05-29,87.5,90.0,87.5,90.0,47,EQ,8,5.88,47
2026-06-01,94.5,94.5,88.0,89.0,297,EQ,15,19.8,291
2026-06-02,88.1,88.1,88.0,88.0,264,EQ,2,132.0,264
2026-06-04,88.0,88.0,88.0,88.0,36,EQ,1,36.0,36
2026-06-05,88.05,88.05,88.05,88.05,1,EQ,1,1.0,1
2026-06-11,88.05,88.05,88.05,88.05,8,EQ,1,8.0,8
2026-06-12,88.05,88.05,87.61,87.61,21,EQ,4,5.25,21
