Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-02,68.0,71.4,66.0,71.4,6126419,BE,8940,685.28,6126419
2026-03-04,70.6,73.36,67.83,67.83,451548,BE,3403,132.69,451548
2026-03-05,66.35,67.83,64.44,64.44,195512,BE,1769,110.52,195512
2026-03-06,61.22,61.22,61.22,61.22,110945,BE,1026,108.13,110945
2026-03-09,58.16,58.16,58.16,58.16,31687,BE,634,49.98,31687
2026-03-10,55.3,58.0,55.26,56.4,623783,BE,3391,183.95,623783
2026-03-11,54.1,55.7,53.58,53.58,185614,BE,1601,115.94,185614
2026-03-12,50.91,50.91,50.91,50.91,62581,BE,741,84.45,62581
2026-03-13,49.0,50.9,48.37,48.37,209228,BE,1484,140.99,209228
2026-03-16,46.0,50.78,45.96,50.59,355577,BE,2813,126.4,355577
2026-03-17,51.0,52.49,48.0,48.34,364511,EQ,3604,101.14,191413
2026-03-18,48.59,48.78,46.58,47.13,266923,EQ,2006,133.06,143796
2026-03-19,47.0,50.84,46.0,48.27,473604,EQ,4321,109.61,130515
2026-03-20,50.4,51.27,47.88,48.42,403245,EQ,2535,159.07,204416
2026-03-23,48.0,48.02,44.0,44.21,360845,EQ,2449,147.34,241169
2026-03-24,44.87,46.5,42.5,44.07,174263,EQ,1954,89.18,79399
2026-03-25,44.8,46.04,44.02,44.32,179317,EQ,1427,125.66,93727
2026-03-27,43.66,44.19,40.5,41.31,210674,EQ,1918,109.84,144084
2026-03-30,41.0,42.46,40.0,40.89,123759,EQ,1629,75.97,73498
2026-04-01,41.5,43.0,41.1,42.09,108519,EQ,1196,90.73,49003
2026-04-02,41.51,44.73,41.37,42.58,264928,EQ,2449,108.18,84189
2026-04-06,43.2,48.44,41.55,46.02,740030,EQ,5483,134.97,130512
2026-04-07,47.8,47.8,44.75,46.06,245980,EQ,1336,184.12,96471
2026-04-08,48.0,49.0,46.5,47.04,329024,EQ,1755,187.48,154888
2026-04-09,47.04,47.49,45.25,45.64,303297,EQ,1705,177.89,164051
2026-04-10,46.5,46.75,45.5,45.74,162761,EQ,1232,132.11,59320
2026-04-13,44.82,46.74,43.87,45.98,205453,EQ,1225,167.72,74066
2026-04-15,46.1,48.87,46.1,47.36,449216,EQ,2810,159.86,112652
2026-04-16,47.99,49.94,47.75,48.63,270986,EQ,2133,127.04,119032
2026-04-17,49.36,49.73,48.5,48.92,126258,EQ,1430,88.29,67261
2026-04-20,49.49,49.88,47.71,48.17,115838,EQ,1140,101.61,51157
2026-04-21,48.13,49.44,48.13,48.7,97330,EQ,1056,92.17,53167
2026-04-22,49.37,53.4,48.78,51.77,386203,EQ,3570,108.18,163124
2026-04-23,52.88,52.88,50.5,50.59,136803,EQ,1255,109.01,72074
2026-04-24,52.4,52.4,48.0,49.26,124710,EQ,1293,96.45,56465
2026-04-27,49.51,50.6,48.91,50.32,86895,EQ,918,94.66,45099
2026-04-28,50.9,50.9,49.6,49.94,64331,EQ,633,101.63,42485
2026-04-29,50.22,51.16,48.5,49.18,66935,EQ,690,97.01,43399
2026-04-30,49.33,49.5,47.31,48.09,69288,EQ,864,80.19,40113
2026-05-04,48.25,53.0,48.1,48.76,105865,EQ,985,107.48,51370
2026-05-05,50.69,50.89,47.63,48.05,108970,EQ,1103,98.79,56375
2026-05-06,48.9,48.95,47.93,48.66,57298,EQ,616,93.02,32308
2026-05-07,48.6,48.98,48.37,48.67,37895,EQ,612,61.92,22922
2026-05-08,48.52,48.52,46.0,47.84,59047,EQ,763,77.39,31704
2026-05-11,48.69,48.69,47.42,48.12,43982,EQ,513,85.73,24701
2026-05-12,48.6,48.98,45.5,45.83,70428,EQ,1165,60.45,48728
2026-05-13,46.77,48.59,45.6,46.56,107330,EQ,769,139.57,58086
2026-05-14,46.78,47.85,45.82,46.2,51961,EQ,820,63.37,34020
2026-05-15,45.45,46.75,45.27,46.02,56542,EQ,646,87.53,37970
2026-05-18,46.6,46.6,43.07,43.55,147805,EQ,1169,126.44,91277
2026-05-19,44.5,44.7,43.5,43.8,33935,EQ,575,59.02,17319
2026-05-20,44.4,44.68,43.5,44.33,39020,EQ,572,68.22,22590
2026-05-21,45.18,45.18,43.8,44.03,32736,EQ,494,66.27,19089
2026-05-22,44.8,45.2,43.5,43.86,42119,EQ,1055,39.92,18722
2026-05-25,44.73,44.99,42.9,43.11,129944,EQ,872,149.02,84034
2026-05-26,43.8,44.25,43.17,43.93,39516,EQ,605,65.32,27111
2026-05-27,43.51,44.89,43.2,43.83,108220,EQ,882,122.7,69822
2026-05-29,43.2,44.39,42.55,43.01,57174,EQ,743,76.95,42702
2026-06-01,43.75,43.75,41.4,41.94,60637,EQ,791,76.66,42850
2026-06-02,42.4,42.49,41.05,41.94,35715,EQ,597,59.82,21543
2026-06-03,42.34,42.38,41.1,41.97,65594,EQ,622,105.46,47259
2026-06-04,43.0,43.0,41.5,41.68,34807,EQ,400,87.02,29110
2026-06-05,42.0,42.18,41.31,41.52,28013,EQ,381,73.52,17323
2026-06-08,41.52,41.85,41.11,41.24,23224,EQ,411,56.51,15421
2026-06-09,41.69,42.15,41.24,41.99,23734,EQ,307,77.31,17584
2026-06-10,42.0,42.4,41.2,41.35,44808,EQ,608,73.7,28326
2026-06-11,42.19,42.19,40.0,40.22,46396,EQ,726,63.91,33518
2026-06-12,40.66,41.89,40.31,41.03,33213,EQ,404,82.21,25212
2026-06-15,41.6,42.5,41.1,41.35,44020,EQ,653,67.41,29506
2026-06-16,42.0,42.0,41.16,41.8,19434,EQ,334,58.19,12343
2026-06-17,41.9,41.9,40.8,40.98,79507,EQ,800,99.38,59132
2026-06-18,41.01,41.29,39.5,39.85,113070,EQ,992,113.98,93778
2026-06-19,40.5,40.5,39.0,39.56,72652,EQ,752,96.61,53471
2026-06-22,39.99,40.5,39.79,40.09,64835,EQ,540,120.06,50373
2026-06-23,40.44,40.59,39.0,39.38,48136,EQ,628,76.65,36198
2026-06-24,39.7,39.7,39.03,39.18,23271,EQ,276,84.32,17737
2026-06-25,39.59,41.5,39.0,40.45,204691,EQ,1723,118.8,125013
