Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-06,70.0,70.0,66.5,66.5,833600,ST,211,3950.71,833600
2026-03-09,63.2,63.2,63.2,63.2,25600,ST,5,5120.0,25600
2026-03-10,60.1,60.1,60.05,60.05,272000,ST,27,10074.07,272000
2026-03-11,57.05,57.05,57.05,57.05,4800,ST,3,1600.0,4800
2026-03-12,54.2,59.9,54.2,59.9,1008000,ST,127,7937.01,1001600
2026-03-13,58.75,62.85,58.5,62.7,57600,ST,32,1800.0,57600
2026-03-16,61.95,65.4,61.95,65.4,504000,ST,54,9333.33,504000
2026-03-17,65.4,68.0,62.15,68.0,217600,ST,29,7503.45,216000
2026-03-18,68.0,68.95,66.0,66.05,33600,ST,20,1680.0,33600
2026-03-19,67.45,67.5,65.55,67.0,51200,ST,12,4266.67,51200
2026-03-20,66.05,66.5,64.5,65.5,81600,SM,15,5440.0,80000
2026-03-23,64.9,64.9,64.9,64.9,8000,SM,5,1600.0,8000
2026-03-24,64.8,64.8,60.1,63.1,6400,SM,4,1600.0,4800
2026-03-25,67.0,67.0,62.0,64.0,112000,SM,13,8615.38,102400
2026-03-27,64.0,66.95,58.15,60.5,140800,SM,31,4541.94,118400
2026-03-30,65.0,65.0,63.5,63.5,6400,SM,4,1600.0,0
2026-04-01,64.0,65.25,62.0,62.0,30400,SM,16,1900.0,20800
2026-04-02,62.0,64.0,62.0,64.0,4800,SM,2,2400.0,4800
2026-04-06,66.95,68.0,64.5,67.05,523200,SM,81,6459.26,518400
2026-04-07,67.0,68.0,66.95,67.1,235200,SM,44,5345.45,233600
2026-04-08,67.5,68.0,65.6,67.45,166400,SM,42,3961.9,156800
2026-04-09,67.0,68.0,65.4,67.0,206400,SM,27,7644.44,206400
2026-04-10,67.5,68.0,67.5,67.95,11200,SM,6,1866.67,11200
