Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-01-21,37.8,37.8,37.8,37.8,7098,BE,139,51.06,7098
2025-01-22,39.65,39.65,39.65,39.65,1046,BE,73,14.33,1046
2025-01-23,41.6,41.6,41.6,41.6,472,BE,52,9.08,472
2025-01-24,43.65,43.65,43.65,43.65,1802,BE,44,40.95,1802
2025-01-27,45.8,45.8,45.8,45.8,349,BE,40,8.72,349
2025-01-28,48.05,48.05,48.05,48.05,1172,BE,46,25.48,1172
2025-02-03,50.45,50.45,50.45,50.45,539,BE,66,8.17,539
2025-02-10,52.97,52.97,52.97,52.97,1584,BE,67,23.64,1584
2025-02-17,55.61,55.61,55.61,55.61,347,BE,59,5.88,347
2025-02-24,58.39,58.39,58.39,58.39,393,BE,45,8.73,393
2025-03-03,61.3,61.3,61.3,61.3,718,BE,55,13.05,718
2025-03-04,64.36,64.36,64.36,64.36,563,BE,41,13.73,563
2025-03-05,67.57,67.57,67.57,67.57,164,BE,32,5.12,164
2025-03-06,70.94,70.94,70.94,70.94,220,BE,32,6.88,220
2025-03-07,74.48,74.48,74.48,74.48,122,BE,28,4.36,122
2025-03-10,78.2,78.2,78.2,78.2,984,BE,52,18.92,984
2025-03-17,82.11,82.11,82.11,82.11,373,BE,39,9.56,373
2025-03-24,85.0,86.21,85.0,86.21,695,BE,70,9.93,695
2025-04-01,90.52,90.52,90.52,90.52,130,BE,31,4.19,130
2025-04-07,95.04,95.04,95.04,95.04,566,BE,49,11.55,566
2025-04-15,99.79,99.79,99.79,99.79,555,BE,65,8.54,555
2025-04-21,104.77,104.77,104.77,104.77,373,BE,66,5.65,373
2025-04-28,110.0,110.0,110.0,110.0,961,BE,66,14.56,961
2025-05-02,115.5,115.5,115.5,115.5,266,BE,51,5.22,266
2025-05-05,121.27,121.27,121.27,121.27,540,BE,56,9.64,540
2025-05-06,127.33,127.33,127.33,127.33,318,BE,40,7.95,318
2025-05-07,133.69,133.69,133.69,133.69,258,BE,36,7.17,258
2025-05-08,140.37,140.37,140.37,140.37,599,BE,36,16.64,599
2025-05-09,147.38,147.38,147.38,147.38,213,BE,36,5.92,213
2025-05-19,154.74,154.74,154.74,154.74,193,BE,46,4.2,193
2025-05-26,162.47,162.47,162.47,162.47,273,BE,47,5.81,273
2025-06-02,170.59,170.59,170.59,170.59,527,BE,75,7.03,527
2025-06-09,179.11,179.11,179.11,179.11,952,BE,67,14.21,952
2025-06-16,188.06,188.06,188.06,188.06,234,BE,41,5.71,234
2025-06-23,197.46,197.46,197.46,197.46,614,BE,75,8.19,614
2025-06-30,207.33,207.33,207.33,207.33,372,BE,68,5.47,372
2025-07-01,217.69,217.69,217.69,217.69,132,BE,30,4.4,132
2025-07-02,228.57,228.57,228.57,228.57,311,BE,34,9.15,311
2025-07-03,239.99,239.99,239.99,239.99,276,BE,43,6.42,276
2025-07-04,251.98,251.98,251.98,251.98,212,BE,33,6.42,212
2025-07-07,264.57,264.57,264.57,264.57,247,BE,43,5.74,247
2025-07-08,277.79,277.79,277.79,277.79,564,BE,36,15.67,564
2025-07-14,291.67,291.67,291.67,291.67,395,BE,66,5.98,395
2025-07-21,306.25,306.25,306.25,306.25,537,BE,68,7.9,537
2025-07-28,321.56,321.56,321.56,321.56,466,BE,60,7.77,466
2025-08-04,337.65,337.65,337.65,337.65,884,BE,64,13.81,884
2025-08-11,342.0,354.5,342.0,354.5,446,BE,63,7.08,446
2025-08-18,372.0,372.2,372.0,372.2,950,BE,61,15.57,950
2025-08-25,390.8,390.8,390.8,390.8,4644,BE,75,61.92,4644
2025-09-01,410.3,410.3,410.3,410.3,319,BE,51,6.25,319
2025-09-02,430.8,430.8,430.8,430.8,582,BE,42,13.86,582
2025-09-03,452.3,452.3,452.3,452.3,836,BE,58,14.41,836
2025-09-04,474.9,474.9,474.9,474.9,361,BE,35,10.31,361
2025-09-05,498.6,498.6,498.6,498.6,252,BE,27,9.33,252
2025-09-08,523.5,523.5,523.5,523.5,649,BE,58,11.19,649
2025-09-15,549.6,549.65,549.6,549.65,731,BE,92,7.95,731
2025-09-22,577.1,577.1,577.1,577.1,1392,BE,72,19.33,1392
2025-09-29,605.95,605.95,605.95,605.95,1810,BE,83,21.81,1810
2025-10-06,636.2,636.2,636.2,636.2,2923,BE,114,25.64,2923
2025-10-13,668.0,668.0,668.0,668.0,3682,BE,124,29.69,3682
2025-10-20,701.4,701.4,701.4,701.4,5099,BE,143,35.66,5099
2025-10-27,736.45,736.45,736.45,736.45,1886,BE,170,11.09,1886
2025-11-03,773.25,773.25,773.25,773.25,6619,BE,196,33.77,6619
2025-11-04,808.0,811.9,808.0,811.9,2582,BE,445,5.8,2582
2025-11-06,852.45,852.45,852.45,852.45,1134,BE,131,8.66,1134
2025-11-07,895.05,895.05,895.05,895.05,1845,BE,112,16.47,1845
2025-11-10,939.8,939.8,939.8,939.8,3490,BE,146,23.9,3490
2025-11-11,986.75,986.75,986.75,986.75,2232,BE,337,6.62,2232
2025-11-17,1036.05,1036.05,1036.05,1036.05,5168,BE,233,22.18,5168
2025-11-24,1087.85,1087.85,1087.85,1087.85,5907,BE,263,22.46,5907
2025-12-01,1142.2,1142.2,1142.2,1142.2,2104,BE,200,10.52,2104
2025-12-08,1199.3,1199.3,1199.3,1199.3,4300,BE,244,17.62,4300
2025-12-15,1259.2,1259.2,1259.2,1259.2,3129,BE,232,13.49,3129
2025-12-22,1322.1,1322.1,1322.1,1322.1,12688,BE,226,56.14,12688
2025-12-29,1388.0,1388.2,1388.0,1388.2,2551,BE,237,10.76,2551
2026-01-01,1457.6,1457.6,1457.6,1457.6,1938,BE,151,12.83,1938
2026-01-02,1530.4,1530.4,1530.4,1530.4,1858,BE,169,10.99,1858
2026-01-05,1606.9,1606.9,1606.9,1606.9,2635,BE,170,15.5,2635
2026-01-06,1687.2,1687.2,1687.2,1687.2,6471,BE,164,39.46,6471
2026-01-07,1771.5,1771.5,1771.5,1771.5,1691,BE,299,5.66,1691
2026-01-08,1860.0,1860.0,1860.0,1860.0,1376,BE,131,10.5,1376
2026-01-12,1953.0,1953.0,1767.0,1840.5,93592,BE,2757,33.95,93592
2026-01-19,1748.5,1784.0,1748.5,1748.5,22295,BE,895,24.91,22295
2026-01-27,1661.1,1835.9,1661.1,1818.6,77086,BE,2398,32.15,77086
2026-02-02,1727.7,1875.0,1727.7,1793.2,31918,BE,885,36.07,31918
2026-02-09,1750.0,1875.0,1703.6,1854.2,27305,BE,1380,19.79,27305
2026-02-16,1761.5,1854.2,1761.5,1789.8,11520,BE,540,21.33,11520
2026-02-23,1780.0,1780.0,1700.4,1700.5,9339,BE,512,18.24,9339
2026-03-02,1616.0,1785.5,1615.5,1781.4,49907,BE,1621,30.79,49907
2026-03-04,1799.3,1870.4,1695.0,1870.0,21628,BE,1452,14.9,21628
2026-03-05,1871.0,1963.5,1845.0,1937.2,25181,BE,1679,15.0,25181
2026-03-06,1999.9,2034.0,1963.5,2022.5,19305,BE,1746,11.06,19305
2026-03-09,2100.0,2100.0,1921.4,2020.8,14871,BE,1176,12.65,14871
2026-03-10,2000.0,2121.8,1919.8,2081.7,48584,BE,1684,28.85,48584
2026-03-11,2100.0,2185.7,2000.1,2172.2,19266,BE,1229,15.68,19266
2026-03-12,2172.2,2280.8,2100.0,2280.6,14182,BE,1261,11.25,14182
2026-03-13,2335.0,2394.6,2326.3,2394.6,22792,BE,1312,17.37,22792
2026-03-16,2489.0,2489.0,2275.1,2387.2,16599,BE,1459,11.38,16599
2026-03-17,2389.9,2450.0,2267.9,2399.1,25236,BE,1662,15.18,25236
