Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,36.95,38.75,34.0,36.06,13676,EQ,130,105.2,10731
2026-08-18,33.4,36.85,33.1,33.98,9179,EQ,55,166.89,8916
2026-08-19,36.5,36.6,33.05,34.25,6075,EQ,92,66.03,4151
2026-08-20,36.0,36.25,34.5,34.56,3168,EQ,25,126.72,2778
2026-08-21,32.0,35.0,32.0,34.19,2433,EQ,21,115.86,2026
2026-08-24,34.19,35.7,33.12,35.2,1535,EQ,38,40.39,1392
2026-08-25,36.5,36.5,34.0,35.49,1173,EQ,40,29.32,1083
2026-08-26,34.4,35.0,33.9,34.46,4489,EQ,51,88.02,4129
2026-08-27,34.8,34.8,34.2,34.57,5171,EQ,41,126.12,4362
2026-08-28,35.0,35.0,34.0,34.41,530,EQ,9,58.89,530
2026-08-31,35.95,36.0,33.85,35.35,18810,EQ,37,508.38,18119
2026-09-01,34.26,35.18,34.26,34.82,3475,EQ,43,80.81,3429
2026-09-02,34.75,34.76,34.03,34.11,3122,EQ,28,111.5,2819
2026-09-03,35.75,35.75,34.11,35.48,2449,EQ,26,94.19,2439
2026-09-04,35.05,35.44,34.17,35.25,6016,EQ,35,171.89,5998
