Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-26,75.0,76.8,71.25,72.75,2346000,ST,827,2836.76,2330000
2026-05-27,71.0,75.0,70.95,72.95,240000,ST,104,2307.69,232000
2026-05-29,73.95,74.95,71.9,72.1,94000,ST,44,2136.36,92000
2026-06-01,71.0,71.75,70.0,71.3,90000,ST,42,2142.86,88000
2026-06-02,71.1,71.9,69.0,70.0,40000,ST,20,2000.0,40000
2026-06-03,69.5,73.5,68.25,72.85,112000,ST,53,2113.21,108000
2026-06-04,73.0,76.45,73.0,75.8,174000,ST,84,2071.43,168000
2026-06-05,76.95,78.0,75.5,76.4,66000,ST,30,2200.0,66000
2026-06-08,76.4,77.95,75.0,75.2,70000,ST,29,2413.79,64000
2026-06-09,74.0,78.95,74.0,78.95,102000,ST,44,2318.18,84000
2026-06-10,81.95,88.75,81.0,82.55,320000,SM,157,2038.22,170000
2026-06-11,82.8,87.75,82.55,86.7,128000,SM,62,2064.52,78000
2026-06-12,88.0,89.8,84.0,88.4,166000,SM,75,2213.33,96000
