Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-14,284.0,334.4,284.0,311.15,28679235,EQ,328551,87.29,8100242
2026-08-17,310.0,313.95,298.0,299.94,3147658,EQ,40070,78.55,926880
2026-08-18,296.0,306.9,292.0,304.79,2132502,EQ,27228,78.32,473114
2026-08-19,305.0,322.99,303.1,314.8,4038608,EQ,47931,84.26,884869
2026-08-20,317.99,337.0,314.0,330.37,3376892,EQ,42465,79.52,783810
2026-08-21,339.4,342.0,332.0,332.61,2113148,EQ,21227,99.55,712626
2026-08-24,336.8,349.6,334.84,341.77,1853211,EQ,24248,76.43,572371
2026-08-25,343.9,348.06,336.41,341.42,956929,EQ,12328,77.62,430059
2026-08-26,341.42,349.41,339.7,343.69,729002,EQ,8444,86.33,316443
2026-08-27,346.5,373.65,345.42,358.24,4686252,EQ,70663,66.32,520230
2026-08-28,360.95,382.96,360.14,373.83,2097019,EQ,33968,61.74,345147
2026-08-31,375.68,377.8,361.45,369.12,972438,EQ,18181,53.49,346687
2026-09-01,371.5,379.8,364.0,374.2,670595,EQ,11025,60.82,222738
2026-09-02,371.95,381.0,368.35,376.1,1206752,EQ,19526,61.8,317951
2026-09-03,382.5,383.85,368.35,373.2,1013523,EQ,15086,67.18,255137
2026-09-04,372.0,373.65,363.1,366.1,476411,EQ,9749,48.87,193759
