Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-28,634.0,634.85,551.15,586.65,51084119,EQ,821540,62.18,12854846
2026-08-31,579.0,585.0,557.1,563.6,8261866,EQ,166328,49.67,1749478
2026-09-01,560.2,574.8,534.7,539.05,8343086,EQ,145995,57.15,1483749
2026-09-02,536.0,589.0,535.05,566.3,15878807,EQ,228251,69.57,1538836
2026-09-03,577.5,584.95,556.05,568.55,5154377,EQ,74533,69.16,701467
2026-09-04,570.8,573.75,547.55,554.8,2650794,EQ,42688,62.1,700606
2026-09-07,559.0,559.0,540.0,546.2,1663376,EQ,30655,54.26,461200
2026-09-08,546.0,573.75,537.35,571.35,4308131,EQ,77219,55.79,863727
2026-09-09,574.7,609.8,572.0,588.65,7543324,EQ,123864,60.9,1404957
2026-09-10,600.0,602.4,575.8,581.3,2165254,EQ,38391,56.4,510862
