Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,1033.45,1033.45,1033.45,1033.45,1,EQ,1,1.0,1
2026-04-21,1032.0,1032.0,1032.0,1032.0,1,EQ,1,1.0,1
2026-04-22,1050.0,1200.0,1000.0,1022.0,354,EQ,68,5.21,211
2026-04-23,1023.0,1023.0,1000.0,1010.0,15,EQ,9,1.67,11
2026-04-24,1019.95,1088.95,1000.0,1086.2,24,EQ,13,1.85,22
2026-04-27,955.05,1086.0,955.0,1074.0,41,EQ,18,2.28,28
2026-04-28,1069.95,1085.0,1067.0,1085.0,51,EQ,13,3.92,48
2026-04-29,1070.0,1080.0,1070.0,1072.0,28,EQ,4,7.0,28
2026-04-30,1107.0,1107.0,1107.0,1107.0,1,EQ,1,1.0,1
2026-05-04,1106.0,1106.0,1062.0,1105.0,70,EQ,19,3.68,68
2026-05-05,1107.0,1149.0,1088.9,1149.0,106,EQ,9,11.78,102
2026-05-07,1140.0,1175.0,1140.0,1155.0,46,EQ,9,5.11,46
2026-05-08,1155.0,1170.0,1005.0,1168.2,131,EQ,12,10.92,119
2026-05-11,1162.4,1168.2,1162.4,1168.2,10,EQ,4,2.5,9
2026-05-13,1100.0,1100.0,1006.0,1042.8,120,EQ,35,3.43,89
2026-05-14,1124.0,1144.0,1118.4,1124.8,45,EQ,14,3.21,43
2026-05-15,1120.0,1140.0,1001.0,1130.0,13,EQ,8,1.62,11
2026-05-18,1051.0,1100.0,1006.0,1006.0,13,EQ,9,1.44,13
2026-05-19,1007.0,1109.0,1007.0,1109.0,4,EQ,4,1.0,3
2026-05-20,1110.0,1110.0,1100.0,1100.0,6,EQ,2,3.0,6
2026-05-21,1055.0,1096.7,1005.1,1005.1,9,EQ,7,1.29,7
2026-05-22,1005.5,1125.0,951.0,1006.0,258,EQ,54,4.78,143
2026-05-25,1041.2,1200.0,1041.2,1184.8,246,EQ,63,3.9,163
2026-05-26,1186.0,1211.9,1150.0,1151.6,59,EQ,19,3.11,54
