Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-21,128.9,129.15,128.7,129.15,18,EQ,5,3.6,8
2026-04-22,135.6,135.6,135.5,135.6,19,EQ,6,3.17,18
2026-04-23,142.35,142.35,139.1,139.1,79,EQ,11,7.18,78
2026-04-24,139.1,139.1,139.0,139.0,170,EQ,3,56.67,170
2026-04-27,145.95,145.95,135.3,137.0,96,EQ,6,16.0,95
2026-04-28,143.85,143.85,130.15,134.6,132,EQ,17,7.76,124
2026-04-29,135.0,141.3,135.0,141.3,282,EQ,6,47.0,282
2026-04-30,141.45,141.45,141.45,141.45,10,EQ,1,10.0,10
2026-05-04,148.5,148.5,134.38,134.39,23,EQ,6,3.83,23
2026-05-05,134.39,134.39,134.39,134.39,39,EQ,2,19.5,39
2026-05-06,134.39,134.39,128.0,128.0,10,EQ,2,5.0,10
2026-05-07,134.1,134.4,134.1,134.4,25,EQ,2,12.5,25
2026-05-08,141.12,141.12,141.12,141.12,10,EQ,1,10.0,10
2026-05-11,141.12,141.12,141.12,141.12,1,EQ,1,1.0,1
2026-05-13,141.65,142.85,141.65,142.85,10,EQ,2,5.0,10
2026-05-14,148.99,148.99,148.99,148.99,3,EQ,1,3.0,3
2026-05-18,142.0,145.0,141.55,143.11,17,EQ,8,2.12,11
2026-05-19,143.11,148.0,143.11,148.0,5,EQ,2,2.5,5
2026-05-22,140.6,140.6,140.6,140.6,3,EQ,2,1.5,3
2026-05-25,135.05,135.05,135.05,135.05,5,EQ,1,5.0,5
2026-05-26,141.35,141.35,141.35,141.35,2,EQ,1,2.0,2
