Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,314.0,324.95,312.0,322.05,112145,EQ,2344,47.84,79256
2026-04-21,322.0,335.9,318.05,330.85,316131,EQ,8012,39.46,193109
2026-04-22,329.0,342.75,325.6,339.0,408165,EQ,6130,66.58,313683
2026-04-23,335.0,348.0,333.6,344.55,332325,EQ,4951,67.12,260254
2026-04-24,344.15,344.2,323.0,337.95,414488,EQ,5779,71.72,293676
2026-04-27,340.2,350.5,337.5,341.9,302384,EQ,6369,47.48,203969
2026-04-28,342.9,357.0,339.55,354.0,307049,EQ,4813,63.8,216217
2026-04-29,357.4,357.6,345.2,348.15,132543,EQ,2691,49.25,101777
2026-04-30,348.15,349.2,329.9,342.45,165142,EQ,4819,34.27,92054
2026-05-04,344.05,354.9,342.4,350.45,396345,EQ,3588,110.46,334303
2026-05-05,350.0,370.5,349.2,368.65,373263,EQ,5761,64.79,272829
2026-05-06,365.0,377.0,359.55,366.5,192213,EQ,4597,41.81,119042
2026-05-07,370.0,375.0,368.0,369.0,125573,EQ,2802,44.82,88587
2026-05-08,367.2,373.75,365.15,369.45,94744,EQ,2803,33.8,63213
2026-05-11,360.5,374.0,360.45,364.7,136376,EQ,3358,40.61,83380
2026-05-12,361.4,364.9,341.0,342.25,151071,EQ,4848,31.16,90501
2026-05-13,341.0,353.4,332.3,349.25,140591,EQ,3026,46.46,69957
2026-05-14,348.75,355.95,344.55,348.05,97853,EQ,2273,43.05,62423
2026-05-15,345.7,356.7,345.15,348.8,96696,EQ,3279,29.49,66817
2026-05-18,345.4,350.3,332.6,336.35,139244,EQ,5959,23.37,80998
2026-05-19,338.1,347.2,335.0,336.95,65141,EQ,3541,18.4,39589
2026-05-20,339.9,347.0,332.0,344.4,86534,EQ,2973,29.11,55899
2026-05-21,341.6,367.8,341.6,364.05,450143,EQ,6921,65.04,254049
2026-05-22,369.95,386.25,357.0,378.95,543997,EQ,11817,46.04,353150
2026-05-25,383.9,388.4,376.0,381.5,325074,EQ,5541,58.67,227706
2026-05-26,387.0,387.0,369.3,374.6,362784,EQ,6837,53.06,260412
2026-05-27,401.35,439.9,392.0,423.55,8013434,EQ,119784,66.9,2173440
2026-05-29,438.0,456.4,434.0,449.35,1781841,EQ,34910,51.04,590779
2026-06-01,458.05,465.0,438.1,450.0,880884,EQ,25530,34.5,366953
2026-06-02,447.45,459.2,430.95,435.6,412187,EQ,12119,34.01,229982
2026-06-03,437.65,448.4,425.1,433.2,623727,EQ,13553,46.02,370774
2026-06-04,433.25,444.0,431.6,435.1,394401,EQ,15004,26.29,250171
2026-06-05,438.95,449.7,435.0,437.95,478796,EQ,14803,32.34,220422
2026-06-08,432.3,464.95,422.15,441.85,890262,EQ,25999,34.24,455293
