Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-19,9.88,9.88,9.64,9.65,40315,EQ,83.0,485.72,22024.0
2025-12-22,9.71,9.75,9.7,9.73,28587,EQ,80.0,357.34,28584.0
2025-12-23,9.92,9.92,9.71,9.72,37160,EQ,93.0,399.57,37156.0
2025-12-24,9.91,9.91,9.69,9.7,37164,EQ,92.0,403.96,35901.0
2025-12-26,9.7,9.7,9.65,9.67,32451,EQ,128.0,253.52,32451.0
2025-12-29,9.67,9.68,9.61,9.62,44310,EQ,127.0,348.9,43912.0
2025-12-30,9.61,9.65,9.58,9.6,12716,EQ,83.0,153.2,10867.0
2025-12-31,9.64,9.7,9.62,9.69,22725,EQ,57.0,398.68,15123.0
2026-01-01,9.69,9.7,9.66,9.66,54899,EQ,92.0,596.73,16938.0
2026-01-02,9.9,9.9,9.68,9.72,23223,EQ,60.0,387.05,20908.0
2026-01-05,9.72,9.73,9.68,9.71,30469,EQ,115.0,264.95,13831.0
2026-01-06,9.71,9.71,9.68,9.68,65605,EQ,91.0,720.93,24657.0
2026-01-07,9.7,9.72,9.67,9.7,69945,EQ,84.0,832.68,58949.0
2026-01-08,9.74,9.74,9.62,9.63,25241,EQ,129.0,195.67,22498.0
2026-01-09,9.63,9.66,9.54,9.56,82899,EQ,191.0,434.03,39208.0
2026-01-12,9.57,9.59,9.46,9.59,20104,EQ,115.0,174.82,7397.0
2026-01-13,9.63,9.63,9.51,9.58,13373,EQ,94.0,142.27,13126.0
2026-01-14,9.58,9.58,9.51,9.53,90807,EQ,104.0,873.14,71599.0
2026-01-16,9.57,9.61,9.51,9.51,2136709,EQ,157.0,13609.61,2104664.0
2026-01-19,9.51,9.56,9.47,9.53,21825,EQ,133.0,164.1,10947.0
2026-01-20,9.54,9.54,9.36,9.36,43571,EQ,242.0,180.05,43070.0
2026-01-21,9.45,9.45,9.3,9.34,70372,EQ,133.0,529.11,59927.0
2026-01-22,9.44,9.49,9.35,9.42,17925,EQ,82.0,218.6,9958.0
2026-01-23,9.42,9.43,9.3,9.31,22032,EQ,141.0,156.26,19597.0
2026-01-27,9.54,9.54,9.24,9.31,51520,EQ,136.0,378.82,44659.0
2026-01-28,9.99,9.99,9.28,9.33,73727,EQ,177.0,416.54,68097.0
2026-01-29,9.31,9.38,9.24,9.34,53418,EQ,122.0,437.85,40337.0
2026-01-30,9.25,9.38,9.25,9.36,12233,EQ,78.0,156.83,10480.0
2026-02-01,9.59,9.59,9.14,9.19,44490,EQ,191.0,232.93,37904.0
2026-02-02,9.19,9.31,9.15,9.28,18499,EQ,107.0,172.89,9612.0
2026-02-03,9.58,9.61,9.48,9.54,13593,EQ,77.0,176.53,10125.0
2026-02-04,9.58,9.58,9.45,9.5,10446,EQ,75,139.28,7667
2026-02-05,9.54,9.54,9.43,9.44,22024,EQ,85,259.11,21242
2026-02-06,9.46,9.51,9.42,9.5,24724,EQ,77,321.09,18992
2026-02-09,9.56,9.6,9.54,9.59,91296,EQ,110,829.96,73406
2026-02-10,9.6,9.67,9.6,9.64,69244,EQ,81,854.86,54534
2026-02-11,9.67,9.67,9.63,9.63,26594,EQ,51,521.45,16943
2026-02-12,9.67,9.67,9.55,9.55,19484,EQ,99,196.81,19450
2026-02-13,9.55,9.55,9.41,9.43,14800,EQ,88,168.18,11473
2026-02-16,9.47,9.48,9.41,9.47,7546,EQ,92,82.02,7296
2026-02-17,9.47,9.53,9.44,9.5,14665,EQ,77,190.45,7157
2026-02-18,9.52,9.54,9.46,9.52,12790,EQ,65,196.77,11983
2026-02-19,9.56,9.57,9.38,9.38,25177,EQ,136,185.12,21120
2026-02-20,9.38,9.48,9.36,9.44,104954,EQ,90,1166.16,100215
2026-02-23,9.48,9.52,9.46,9.48,186728,EQ,110,1697.53,185839
2026-02-24,9.45,9.45,9.33,9.35,40679,EQ,199,204.42,38232
2026-02-25,9.4,9.44,9.35,9.37,113768,EQ,110,1034.25,104271
2026-02-26,9.41,9.43,9.37,9.39,8886,EQ,87,102.14,8670
