Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,1136.0,1155.0,1136.0,1136.82,990,EQ,39,25.38,987
2026-04-21,1159.99,1164.0,1125.0,1148.84,2378,EQ,116,20.5,2163
2026-04-22,1136.01,1181.0,1136.0,1170.52,1471,EQ,128,11.49,1441
2026-04-23,1156.0,1182.0,1156.0,1181.59,1704,EQ,92,18.52,1511
2026-04-24,1170.03,1170.03,1148.0,1151.84,1148,EQ,131,8.76,844
2026-04-27,1157.03,1188.0,1147.99,1177.2,488,EQ,76,6.42,277
2026-04-28,1193.99,1201.0,1160.0,1185.34,1346,EQ,134,10.04,1230
2026-04-29,1215.0,1215.0,1164.0,1178.28,633,EQ,84,7.54,278
2026-04-30,1162.61,1199.8,1162.0,1177.55,653,EQ,58,11.26,528
2026-05-04,1199.2,1199.2,1180.2,1192.4,558,EQ,53,10.53,452
2026-05-05,1161.0,1199.0,1161.0,1197.8,1382,EQ,48,28.79,1261
2026-05-06,1219.0,1219.0,1170.0,1186.1,1228,EQ,196,6.27,942
2026-05-07,1187.2,1236.9,1186.6,1216.1,1671,EQ,187,8.94,1352
2026-05-08,1216.0,1250.0,1200.2,1244.3,2224,EQ,313,7.11,1901
