Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-29,134.9,144.95,132.0,135.37,11992496,EQ,130894,91.62,5446841
2026-06-30,137.0,140.23,134.16,136.6,1619750,EQ,21109,76.73,582009
2026-07-01,136.6,146.99,136.1,142.88,3612891,EQ,39281,91.98,1111347
2026-07-02,144.38,147.28,130.33,139.22,3119289,EQ,36164,86.25,847728
2026-07-03,139.9,142.83,135.4,138.62,1758430,EQ,18214,96.54,658555
2026-07-06,137.01,140.96,135.1,136.75,516564,EQ,5694,90.72,216384
2026-07-07,136.75,137.0,133.3,134.99,466519,EQ,8552,54.55,202136
2026-07-08,133.0,133.32,126.15,129.06,2123518,EQ,49438,42.95,921154
2026-07-09,129.29,132.95,129.02,129.89,819017,EQ,34780,23.55,308843
2026-07-10,130.7,139.78,130.7,136.78,1296854,EQ,20116,64.47,326084
2026-07-13,135.05,141.0,132.84,136.18,1677490,EQ,17115,98.01,786975
