Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-02,134.24,134.24,130.43,131.55,115512,EQ,335.0,344.81,110217.0
2026-01-05,134.83,137.33,132.51,137.16,166074,EQ,163.0,1018.86,149984.0
2026-01-06,139.5,139.5,137.0,137.52,2619,EQ,96.0,27.28,2289.0
2026-01-07,137.52,139.99,134.0,136.98,12663,EQ,106.0,119.46,11754.0
2026-01-08,134.34,136.81,134.34,135.23,1529,EQ,58.0,26.36,1308.0
2026-01-09,135.24,140.0,133.57,137.5,28042,EQ,111.0,252.63,25420.0
2026-01-12,139.8,141.0,139.6,140.91,22141,EQ,117.0,189.24,15867.0
2026-01-13,139.75,141.2,139.75,140.76,8947,EQ,39.0,229.41,6423.0
2026-01-14,141.8,143.0,141.8,142.97,11321,EQ,82.0,138.06,10777.0
2026-01-16,140.11,147.0,140.11,142.03,11486,EQ,90.0,127.62,11087.0
2026-01-19,142.46,145.39,142.1,144.44,9799,EQ,83.0,118.06,6826.0
2026-01-20,143.72,164.0,143.59,150.87,8214,EQ,143.0,57.44,4147.0
2026-01-21,157.7,163.99,153.1,157.03,29153,EQ,277.0,105.25,25249.0
2026-01-22,156.5,156.5,130.7,150.44,10076,EQ,156.0,64.59,6410.0
2026-01-23,150.44,156.0,148.3,150.79,23682,EQ,324.0,73.09,3650.0
2026-01-27,158.0,158.0,152.0,156.89,27502,EQ,192.0,143.24,3845.0
2026-01-28,160.06,163.0,157.55,159.99,20540,EQ,182.0,112.86,11848.0
2026-01-29,163.11,187.98,159.99,174.4,58815,EQ,716.0,82.14,24802.0
2026-01-30,169.97,174.0,152.0,160.59,412752,EQ,513.0,804.58,403772.0
2026-02-01,154.5,155.0,137.12,149.04,5885,EQ,238.0,24.73,3498.0
2026-02-02,148.89,158.0,133.6,146.12,23763,EQ,549.0,43.28,6024.0
2026-02-03,146.99,153.7,144.01,146.71,64263,EQ,400.0,160.66,57991.0
2026-02-04,155.51,158.89,149.41,156.24,34985,EQ,473,73.96,23431
2026-02-05,155.0,155.0,147.87,151.05,113580,EQ,287,395.75,107223
2026-02-06,151.05,159.0,147.32,153.52,204902,EQ,174,1177.6,200738
2026-02-09,155.12,159.35,152.71,153.98,304388,EQ,348,874.68,285150
2026-02-10,155.85,158.0,152.78,153.97,21231,EQ,303,70.07,17092
2026-02-11,152.95,155.73,152.3,153.92,5042,EQ,290,17.39,2225
2026-02-12,156.99,156.99,153.0,154.05,4681,EQ,138,33.92,2508
2026-02-13,153.49,155.0,149.02,152.02,42365,EQ,462,91.7,40240
2026-02-16,152.79,153.2,151.38,151.74,2398,EQ,87,27.56,803
2026-02-17,150.29,152.0,147.8,150.03,6943,EQ,463,15.0,4086
2026-02-18,151.88,151.88,150.0,150.45,6786,EQ,2685,2.53,5136
2026-02-19,153.07,154.01,152.2,153.01,1316,EQ,394,3.34,776
2026-02-20,154.01,154.01,151.35,153.21,2531,EQ,396,6.39,1474
2026-02-23,156.37,156.97,155.0,156.08,20795,EQ,145,143.41,19970
2026-02-24,156.87,158.03,156.23,156.78,5575,EQ,114,48.9,2955
2026-02-25,159.93,159.93,156.38,157.57,2008,EQ,306,6.56,1213
2026-02-26,157.57,160.55,154.42,156.73,2624,EQ,280,9.37,1693
2026-02-27,159.75,159.75,155.93,157.32,3994,EQ,126,31.7,2475
2026-03-02,163.24,169.0,162.35,168.44,17086,EQ,341,50.11,9046
2026-03-04,164.8,167.0,159.0,161.76,14108,EQ,218,64.72,9055
2026-03-05,164.79,164.79,157.15,160.02,10367,EQ,176,58.9,6119
2026-03-06,160.83,160.83,156.29,157.06,19574,EQ,573,34.16,6470
2026-03-09,160.0,160.0,154.35,157.26,6051,EQ,2078,2.91,3376
2026-03-10,158.19,158.97,157.5,157.97,1504,EQ,71,21.18,456
2026-03-11,159.0,159.67,157.65,158.17,11361,EQ,43,264.21,11076
2026-03-12,158.17,158.9,154.35,158.71,4246,EQ,65,65.32,1702
2026-03-13,159.5,161.7,155.74,156.91,10335,EQ,150,68.9,9953
2026-03-16,156.5,156.5,151.98,152.12,7633,EQ,132,57.83,4580
2026-03-17,155.16,155.16,153.15,153.31,1792,EQ,41,43.71,1463
2026-03-18,154.07,154.9,152.75,153.01,3681,EQ,48,76.69,3334
2026-03-19,149.26,151.9,145.3,145.71,12016,EQ,189,63.58,7705
2026-03-20,148.62,148.62,144.54,145.71,1619,EQ,59,27.44,1268
2026-03-23,142.8,142.8,123.31,134.72,19040,EQ,211,90.24,4699
2026-03-24,136.91,139.63,136.04,138.95,4355,EQ,162,26.88,1798
2026-03-25,144.43,144.99,142.79,142.82,5024,EQ,76,66.11,2558
2026-03-27,143.53,143.53,140.33,141.74,1462,EQ,75,19.49,785
2026-03-30,141.74,145.77,140.35,145.0,10798,EQ,78,138.44,7144
2026-04-01,147.99,148.5,146.7,147.62,13224,EQ,82,161.27,10156
2026-04-02,147.78,147.78,143.3,145.4,4296,EQ,119,36.1,1017
2026-04-06,148.31,148.31,141.6,147.98,6951,EQ,488,14.24,5259
2026-04-07,150.96,150.96,145.45,146.48,3079,EQ,82,37.55,910
2026-04-08,149.41,151.0,149.41,149.94,3954,EQ,533,7.42,3386
2026-04-09,149.19,151.0,146.9,148.5,768,EQ,52,14.77,335
2026-04-10,150.95,178.0,147.0,148.59,3657,EQ,68,53.78,1372
