Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,420.05,428.85,413.0,419.25,1367,EQ,75,18.23,1091
2026-04-21,417.15,420.0,408.5,411.85,10639,EQ,271,39.26,7538
2026-04-22,414.75,414.8,402.1,410.55,6390,EQ,209,30.57,3924
2026-04-23,414.75,414.75,405.0,407.1,5472,EQ,1026,5.33,3648
2026-04-24,409.05,412.4,399.9,406.55,5930,EQ,274,21.64,4724
2026-04-27,402.35,414.95,402.35,409.2,5980,EQ,424,14.1,3053
2026-04-28,410.0,411.65,396.35,399.9,14378,EQ,1114,12.91,11508
2026-04-29,400.5,419.5,400.1,409.1,32279,EQ,2796,11.54,19836
2026-04-30,413.8,415.0,409.15,410.2,6514,EQ,401,16.24,3883
2026-05-04,410.2,412.0,399.4,403.25,21942,EQ,960,22.86,14711
2026-05-05,404.2,410.0,402.1,403.7,11577,EQ,1001,11.57,7409
2026-05-06,400.0,411.95,400.0,407.45,7826,EQ,504,15.53,3706
2026-05-07,409.9,418.9,406.15,414.75,17636,EQ,1166,15.13,11169
2026-05-08,410.0,436.75,410.0,433.8,22723,EQ,723,31.43,19152
