Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-17,66.0,66.0,62.7,62.7,490000,ST,100,4900.0,490000
2026-06-18,59.6,59.6,59.6,59.6,6000,ST,3,2000.0,6000
2026-06-19,56.65,56.65,56.65,56.65,4000,ST,2,2000.0,4000
2026-06-22,53.85,53.85,53.85,53.85,4000,ST,2,2000.0,4000
2026-06-23,51.2,51.2,51.2,51.2,6000,ST,3,2000.0,6000
2026-06-24,48.65,48.65,48.65,48.65,4000,ST,2,2000.0,4000
2026-06-25,46.25,46.25,46.25,46.25,4000,ST,2,2000.0,4000
2026-06-29,43.95,43.95,43.95,43.95,4000,ST,2,2000.0,4000
2026-06-30,41.8,41.8,41.8,41.8,2000,ST,1,2000.0,2000
2026-07-01,39.75,39.75,39.75,39.75,2000,ST,1,2000.0,2000
2026-07-02,35.8,35.8,35.8,35.8,6000,SM,3,2000.0,6000
2026-07-03,32.25,32.25,32.25,32.25,22000,SM,11,2000.0,22000
2026-07-06,29.05,31.65,29.05,29.05,794000,SM,259,3065.64,520000
