Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-27,15.3,15.31,15.13,15.15,10724,EQ,39,274.97,9702
2026-03-30,15.11,15.25,15.0,15.0,20629,EQ,69,298.97,20299
2026-04-01,15.37,15.54,15.27,15.3,2304142,EQ,346,6659.37,2303045
2026-04-02,14.97,15.25,14.83,15.19,13226,EQ,43,307.58,8808
2026-04-06,15.22,18.32,15.19,15.91,15667,EQ,51,307.2,11066
2026-04-07,15.46,18.0,15.44,15.51,31278,EQ,102,306.65,21925
2026-04-08,16.06,16.1,15.85,15.96,33699,EQ,55,612.71,17828
2026-04-09,15.98,16.12,15.97,16.04,19182,EQ,35,548.06,10028
2026-04-10,16.18,16.18,16.1,16.14,191879,EQ,32,5996.22,190234
2026-04-13,16.14,16.14,15.8,16.06,18108,EQ,50,362.16,14585
2026-04-15,16.33,16.45,16.33,16.43,5938,EQ,52,114.19,4431
2026-04-16,16.56,16.56,16.4,16.48,37875,EQ,45,841.67,37843
2026-04-17,16.45,19.69,16.45,16.94,40631,EQ,42,967.4,24969
