Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-11,78.4,82.3,74.5,82.3,1604400,ST,579,2770.98,1600800
2026-05-12,86.4,86.4,78.2,78.2,837600,ST,217,3859.91,609600
2026-05-13,74.5,78.0,74.3,74.4,386400,ST,146,2646.58,340800
2026-05-14,73.25,74.85,70.7,70.7,223200,ST,101,2209.9,206400
2026-05-15,70.65,74.2,67.35,73.5,128400,ST,96,1337.5,106800
2026-05-18,74.35,74.35,70.1,71.4,44400,ST,33,1345.45,33600
2026-05-19,71.5,74.0,70.0,72.3,68400,ST,47,1455.32,49200
2026-05-20,72.0,72.75,69.55,70.55,46800,ST,37,1264.86,36000
2026-05-21,70.95,72.85,70.0,71.45,63600,ST,44,1445.45,48000
2026-05-22,71.5,75.0,71.5,74.65,54000,ST,43,1255.81,39600
2026-05-25,77.0,77.8,75.65,75.7,19200,SM,16,1200.0,15600
2026-05-26,75.7,79.7,72.6,74.3,94800,SM,62,1529.03,52800
