Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,982.5,991.0,960.0,990.7,83,EQ,9,9.22,83
2026-04-21,990.65,990.65,970.0,980.0,143,EQ,14,10.21,141
2026-04-22,903.05,1011.0,903.05,1002.7,255,EQ,28,9.11,249
2026-04-23,1009.9,1019.9,993.05,1003.65,100,EQ,23,4.35,88
2026-04-24,1027.0,1027.0,967.0,978.0,70,EQ,23,3.04,67
2026-04-27,1159.45,1159.45,971.0,1042.4,470,EQ,86,5.47,293
2026-04-28,1042.4,1042.4,1010.3,1034.0,34,EQ,24,1.42,19
2026-04-29,1000.0,1025.0,987.55,1002.6,302,EQ,67,4.51,288
2026-04-30,1059.9,1059.95,979.0,1037.8,405,EQ,84,4.82,203
2026-05-04,1055.0,1078.0,1011.6,1044.6,277,EQ,34,8.15,240
2026-05-05,1079.9,1079.9,995.0,1005.9,189,EQ,38,4.97,172
2026-05-06,812.0,1069.0,812.0,1064.0,586,EQ,160,3.66,522
2026-05-07,1064.9,1065.0,1049.9,1059.1,139,EQ,32,4.34,127
2026-05-08,1059.0,1065.0,1025.0,1025.0,165,EQ,33,5.0,154
2026-05-11,1045.0,1065.0,1029.3,1062.1,169,EQ,48,3.52,126
2026-05-12,1062.0,1062.0,1000.2,1042.2,245,EQ,33,7.42,194
2026-05-13,1030.0,1040.0,1030.0,1037.8,74,EQ,5,14.8,74
2026-05-14,1038.0,1050.0,997.2,1037.1,254,EQ,15,16.93,254
2026-05-15,1005.0,1039.7,1005.0,1036.0,127,EQ,16,7.94,125
2026-05-18,1125.0,1125.0,1005.7,1005.8,92,EQ,23,4.0,89
2026-05-19,1088.9,1088.9,1007.4,1008.6,42,EQ,17,2.47,41
2026-05-20,1019.0,1041.0,1010.1,1040.3,89,EQ,15,5.93,79
2026-05-21,1040.3,1040.3,960.0,1040.0,205,EQ,21,9.76,193
2026-05-22,1040.0,1049.9,1040.0,1049.9,13,EQ,8,1.62,13
2026-05-25,1040.0,1044.7,1036.0,1043.6,148,EQ,15,9.87,139
2026-05-26,1030.0,1061.0,1021.2,1048.9,236,EQ,16,14.75,236
2026-05-27,1150.0,1150.0,1050.0,1075.0,169,EQ,26,6.5,144
2026-05-29,1068.9,1069.0,1026.0,1059.2,151,EQ,38,3.97,135
2026-06-01,1059.2,1070.0,1000.0,1050.5,581,EQ,72,8.07,514
2026-06-02,1076.0,1117.8,1010.0,1065.1,218,EQ,78,2.79,171
2026-06-03,1047.0,1130.0,1047.0,1102.8,2920,EQ,138,21.16,2791
2026-06-04,1139.0,1190.0,1102.8,1171.0,1351,EQ,158,8.55,1151
2026-06-05,1198.0,1220.0,1159.9,1203.4,1383,EQ,199,6.95,1243
2026-06-08,1220.0,1290.0,1193.0,1267.7,3200,EQ,435,7.36,2374
2026-06-09,1289.0,1326.6,1267.0,1297.5,1281,EQ,178,7.2,1111
2026-06-10,1305.0,1329.8,1273.3,1282.8,788,EQ,76,10.37,696
2026-06-11,1310.0,1310.0,1165.0,1206.1,652,EQ,110,5.93,553
2026-06-12,1206.1,1285.0,1206.1,1254.1,470,EQ,83,5.66,291
