Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-10,52.0,58.45,50.0,53.17,95216157,EQ,328883.0,289.51,26186119.0
2025-12-11,53.17,55.39,52.25,52.85,31562379,EQ,102928.0,306.65,5151464.0
2025-12-12,53.33,53.99,51.11,51.59,11703612,EQ,46458.0,251.92,3426834.0
2025-12-15,51.47,51.47,48.78,49.28,11330045,EQ,44256.0,256.01,3367086.0
2025-12-16,49.2,51.45,48.65,50.64,14228196,EQ,43647.0,325.98,2694375.0
2025-12-17,50.23,54.66,49.12,51.94,34550743,EQ,98715.0,350.0,4010477.0
2025-12-18,53.9,54.99,52.6,53.17,20928514,EQ,58551.0,357.44,3788882.0
2025-12-19,53.65,53.65,52.0,52.24,6656645,EQ,24121.0,275.97,1735265.0
2025-12-22,53.34,54.9,52.09,52.39,17031567,EQ,51541.0,330.45,3769486.0
2025-12-23,52.75,53.75,51.25,51.8,9111460,EQ,30807.0,295.76,2282587.0
2025-12-24,52.29,52.32,51.25,51.79,3985338,EQ,19707.0,202.23,1156136.0
2025-12-26,51.8,51.88,50.85,51.05,3553388,EQ,12564.0,282.82,1185725.0
2025-12-29,51.09,51.25,49.34,50.45,4677464,EQ,22019.0,212.43,1219641.0
2025-12-30,50.42,50.42,49.4,49.68,2348053,EQ,16969.0,138.37,748172.0
2025-12-31,49.68,50.17,49.51,49.75,2615692,EQ,8679.0,301.38,961014.0
2026-01-01,49.79,50.45,49.79,49.98,1402399,EQ,4533.0,309.38,450591.0
2026-01-02,49.46,50.4,49.3,50.13,2657776,EQ,8733.0,304.34,948732.0
2026-01-05,50.7,50.7,49.45,49.67,1731940,EQ,5686.0,304.6,589976.0
2026-01-06,49.56,50.0,49.32,49.78,1588416,EQ,5079.0,312.74,678934.0
2026-01-07,49.6,51.45,49.57,50.97,2755549,EQ,8561.0,321.87,926197.0
2026-01-08,51.4,51.45,49.81,50.17,1787240,EQ,6119.0,292.08,682386.0
2026-01-09,50.17,50.2,48.39,48.68,2019116,EQ,7421.0,272.08,808427.0
2026-01-12,48.7,48.94,46.81,47.52,1833309,EQ,7894.0,232.24,650660.0
2026-01-13,48.06,48.48,47.66,47.88,1015952,EQ,4111.0,247.13,371376.0
