Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-15,20.0,21.06,19.06,21.06,93785342,BE,132444,708.11,93785342
2026-06-16,22.11,22.11,22.07,22.11,165316652,BE,137926,1198.59,165316652
2026-06-17,22.05,23.21,22.05,23.21,60741799,BE,27874,2179.16,60741799
2026-06-18,24.37,24.37,24.0,24.36,143842591,BE,94426,1523.34,143842591
2026-06-19,24.45,25.57,23.26,25.57,79039406,BE,66908,1181.31,79039406
2026-06-22,26.84,26.84,26.84,26.84,23189663,BE,7151,3242.86,23189663
2026-06-23,28.18,28.18,27.38,28.01,109077312,BE,140958,773.83,109077312
2026-06-24,27.95,29.41,27.0,29.41,59519702,BE,110818,537.09,59519702
2026-06-25,30.0,30.88,29.77,30.88,37372424,BE,68084,548.92,37372424
2026-06-29,31.9,32.42,31.5,32.42,20913490,BE,28515,733.42,20913490
2026-06-30,33.9,35.66,32.45,35.26,235299018,EQ,446702,526.75,95733328
2026-07-01,36.48,38.78,36.25,38.78,113217339,EQ,353201,320.55,43711545
2026-07-02,42.0,42.65,41.62,42.65,27127939,EQ,40094,676.61,23062758
2026-07-03,44.78,44.78,40.52,40.52,285562853,EQ,576742,495.13,94166743
2026-07-06,40.0,40.0,38.5,38.5,111514558,EQ,102165,1091.51,42342387
2026-07-07,36.58,36.58,36.58,36.58,4549314,EQ,23861,190.66,4549314
2026-07-08,34.76,34.76,34.76,34.76,6470037,EQ,25695,251.8,5864912
2026-07-09,34.11,34.64,33.03,33.03,241447708,EQ,188326,1282.07,78964608
2026-07-10,33.0,34.68,32.75,34.68,92368489,EQ,52915,1745.6,26563975
2026-07-13,35.4,36.41,35.2,36.41,92593863,EQ,87913,1053.24,34207452
2026-07-14,36.9,37.27,34.75,35.07,83305485,EQ,125856,661.91,31683241
2026-07-15,34.88,34.98,33.32,33.37,43884246,EQ,84992,516.33,21078305
2026-07-16,33.3,35.0,33.15,34.57,38398016,EQ,62851,610.94,15797718
