Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-07,565.0,593.25,556.0,563.05,893760,ST,819,1091.28,892560
2026-04-08,565.0,586.85,559.0,581.45,257520,ST,214,1203.36,256560
2026-04-09,590.35,610.5,580.05,610.5,35280,ST,85,415.06,35280
2026-04-10,641.0,641.0,613.0,635.4,78240,ST,135,579.56,68400
2026-04-13,617.0,658.0,610.5,636.3,24480,ST,75,326.4,22560
2026-04-15,644.0,650.0,615.0,626.0,13200,ST,41,321.95,12720
2026-04-16,626.0,650.0,616.0,646.8,20400,ST,45,453.33,20160
2026-04-17,654.0,657.5,640.0,645.0,13200,ST,35,377.14,12960
2026-04-20,645.0,677.0,635.0,674.0,25920,ST,85,304.94,21600
2026-04-21,685.0,707.7,680.0,701.55,28560,ST,94,303.83,26880
2026-04-22,701.55,776.0,697.65,746.2,109200,SM,355,307.61,49440
2026-04-23,739.95,770.0,730.0,760.0,39600,SM,122,324.59,32880
2026-04-24,771.0,790.0,750.0,783.8,42960,SM,116,370.34,24000
