Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-18,28.0,29.4,26.6,26.6,228385,BE,364.0,627.43,228385.0
2025-12-19,25.27,25.27,25.27,25.27,15668,BE,95.0,164.93,15668.0
2025-12-22,24.01,24.01,24.01,24.01,621,BE,37.0,16.78,621.0
2025-12-23,22.81,22.81,22.81,22.81,7842,BE,51.0,153.76,7842.0
2025-12-24,21.67,21.67,21.67,21.67,523,BE,30.0,17.43,523.0
2025-12-26,20.59,20.59,20.59,20.59,9659,EQ,53.0,182.25,9659.0
2025-12-29,19.57,19.57,19.57,19.57,6257,EQ,32.0,195.53,6257.0
2025-12-30,18.6,18.6,18.6,18.6,262,EQ,29.0,9.03,262.0
2025-12-31,17.67,17.67,17.67,17.67,1766,EQ,43.0,41.07,1766.0
2026-01-01,16.79,16.79,16.79,16.79,3675,EQ,35.0,105.0,3675.0
2026-01-02,15.12,15.12,15.12,15.12,9608,EQ,106.0,90.64,9608.0
2026-01-05,13.61,13.61,13.61,13.61,24147,EQ,116.0,208.16,24147.0
2026-01-06,12.25,13.5,12.25,12.25,2435176,EQ,2124.0,1146.5,1773631.0
2026-01-07,11.64,11.64,11.64,11.64,31446,EQ,125.0,251.57,31446.0
2026-01-08,11.06,11.06,11.06,11.06,7198,EQ,74.0,97.27,7198.0
2026-01-09,10.51,10.51,10.51,10.51,18620,EQ,77.0,241.82,18620.0
2026-01-12,9.99,9.99,9.99,9.99,15881,EQ,66.0,240.62,15881.0
2026-01-13,9.5,10.42,9.5,9.5,1915484,EQ,2867.0,668.11,1272848.0
2026-01-14,9.03,9.45,9.03,9.03,1162212,EQ,864.0,1345.15,679727.0
2026-01-16,8.58,8.58,8.58,8.58,27211,EQ,145.0,187.66,27211.0
2026-01-19,8.16,8.16,8.16,8.16,14844,EQ,88.0,168.68,14844.0
2026-01-20,7.76,8.56,7.76,7.76,2483227,EQ,5585.0,444.62,1592372.0
2026-01-21,7.38,7.38,7.38,7.38,90164,EQ,128.0,704.41,90162.0
2026-01-22,7.02,7.64,7.02,7.02,700176,EQ,1076.0,650.72,562357.0
2026-01-23,6.72,7.36,6.72,7.32,635494,EQ,1787.0,355.62,410618.0
2026-01-27,7.68,7.68,7.07,7.68,351295,EQ,740.0,474.72,326647.0
2026-01-28,8.06,8.06,7.52,8.02,1910660,EQ,2246.0,850.69,1134168.0
2026-01-29,8.28,8.42,7.72,8.42,1095355,EQ,1782.0,614.68,725694.0
2026-01-30,8.65,8.84,8.51,8.84,608515,EQ,765.0,795.44,549817.0
2026-02-01,9.18,9.28,9.16,9.28,585092,EQ,666.0,878.52,551474.0
2026-02-02,9.7,9.74,8.82,8.82,678357,EQ,843.0,804.69,475357.0
2026-02-03,8.43,8.62,8.38,8.38,325861,EQ,339.0,961.24,195463.0
2026-02-04,7.97,8.2,7.97,7.97,384160,EQ,559,687.23,260491
2026-02-05,7.77,7.78,7.58,7.58,292220,EQ,399,732.38,190835
2026-02-06,7.23,7.5,7.21,7.21,252690,EQ,423,597.38,167647
2026-02-09,6.91,7.57,6.91,7.52,1117696,EQ,846,1321.15,912842
2026-02-10,7.5,7.82,7.15,7.15,1224439,EQ,1144,1070.31,870766
2026-02-11,7.16,7.35,6.8,6.8,979049,EQ,830,1179.58,605592
2026-02-12,6.9,7.14,6.75,7.13,422648,EQ,534,791.48,311266
