Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-15,38.0,38.0,36.1,36.1,29748912,BE,101684,292.56,29748912
2026-06-16,34.3,34.3,34.3,34.3,26310364,BE,56807,463.15,26310364
2026-06-17,32.59,35.07,32.59,32.59,95262575,BE,84288,1130.2,95262575
2026-06-18,32.0,33.5,30.97,31.32,152226586,BE,268914,566.08,152226586
2026-06-19,31.0,32.88,30.42,32.87,108329755,BE,79322,1365.7,108329755
2026-06-22,33.89,34.51,33.51,34.51,43806234,BE,31628,1385.05,43806234
2026-06-23,36.23,36.23,32.8,33.29,123213411,BE,151012,815.92,123213411
2026-06-24,32.78,34.95,32.16,34.45,57022809,BE,150582,378.68,57022809
2026-06-25,34.6,34.62,33.06,33.35,33545778,BE,85807,390.94,33545778
2026-06-29,33.35,34.05,32.0,33.17,30154981,BE,75947,397.05,30154981
2026-06-30,32.8,34.22,31.17,32.24,58776153,EQ,108053,543.96,31251930
2026-07-01,32.4,38.68,31.93,38.68,165527150,EQ,149325,1108.5,74550631
2026-07-02,40.15,45.69,39.73,44.59,393536150,EQ,565081,696.42,124284771
2026-07-03,45.58,47.6,41.1,42.79,275919861,EQ,561464,491.43,93024433
2026-07-06,41.01,41.8,38.25,38.94,112664339,EQ,216104,521.34,51025725
2026-07-07,38.7,38.7,35.73,35.89,93723385,EQ,167890,558.24,41390401
