Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,36.55,38.45,36.0,37.05,94689,EQ,749,126.42,74415
2026-04-21,36.25,38.5,36.25,38.05,83382,EQ,505,165.11,66445
2026-04-22,38.45,39.5,37.4,38.85,240225,EQ,815,294.75,207110
2026-04-23,37.45,39.2,37.45,39.1,233636,EQ,990,236.0,186547
2026-04-24,39.5,40.65,38.95,39.85,310835,EQ,1529,203.29,241719
2026-04-27,40.8,41.05,40.15,41.0,319670,EQ,1353,236.27,248718
2026-04-28,41.05,43.05,40.5,42.8,1078445,EQ,2676,403.01,860761
2026-04-29,43.5,44.45,41.3,43.85,603136,EQ,2619,230.29,414219
2026-04-30,43.5,45.2,42.6,44.5,412162,EQ,1935,213.0,250864
2026-05-04,42.7,44.49,41.67,42.83,596266,EQ,2403,248.13,408173
2026-05-05,43.0,44.0,40.5,40.91,420394,EQ,1722,244.13,312427
2026-05-06,40.52,42.74,40.5,41.19,392538,EQ,2488,157.77,208593
2026-05-07,41.8,44.05,41.71,42.86,761310,EQ,3015,252.51,475604
2026-05-08,43.98,47.2,43.5,43.93,2146254,EQ,7040,304.87,1544382
2026-05-11,43.95,44.7,43.0,43.21,362541,EQ,1790,202.54,227124
2026-05-12,43.83,43.83,41.0,41.31,480974,EQ,2075,231.79,323038
2026-05-13,41.31,43.9,41.31,42.33,362383,EQ,1686,214.94,212752
2026-05-14,43.18,43.85,41.39,43.28,247647,EQ,1718,144.15,146634
2026-05-15,42.2,43.38,42.2,42.77,140164,EQ,1280,109.5,87064
2026-05-18,42.76,42.76,40.2,41.1,530369,EQ,3586,147.9,334246
2026-05-19,41.1,41.53,40.62,40.93,128203,EQ,1405,91.25,84335
2026-05-20,42.44,42.45,40.31,42.0,183031,EQ,731,250.38,136922
2026-05-21,43.39,43.39,41.96,42.32,134847,EQ,864,156.07,84371
2026-05-22,43.33,43.58,42.28,43.06,217892,EQ,1269,171.7,133184
2026-05-25,43.02,44.3,42.5,42.9,189364,EQ,1254,151.01,102804
2026-05-26,44.0,44.0,41.5,42.47,187271,EQ,928,201.8,110189
