Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-10,650.0,650.15,614.25,628.65,7071726,EQ,174277.0,40.58,4354458.0
2025-10-13,620.5,625.55,601.55,613.25,2756582,EQ,69930.0,39.42,2122506.0
2025-10-14,608.5,619.0,601.1,610.4,1260716,EQ,25695.0,49.06,1058571.0
2025-10-15,602.0,625.0,601.25,622.15,370084,EQ,15183.0,24.37,225850.0
2025-10-16,620.3,655.0,607.0,644.85,1225991,EQ,36950.0,33.18,461528.0
2025-10-17,649.0,652.5,631.0,646.2,470567,EQ,18808.0,25.02,247242.0
2025-10-20,644.9,652.0,625.8,638.7,357824,EQ,15710.0,22.78,180378.0
2025-10-21,645.0,655.0,631.0,646.6,143947,EQ,4660.0,30.89,82967.0
2025-10-23,642.0,647.0,637.05,642.3,190940,EQ,5639.0,33.86,109811.0
2025-10-24,649.3,654.6,616.25,634.8,481831,EQ,22396.0,21.51,194497.0
2025-10-27,641.0,645.25,622.6,637.8,229656,EQ,12809.0,17.93,115049.0
2025-10-28,634.0,653.8,617.1,644.85,360062,EQ,16082.0,22.39,131632.0
2025-10-29,643.9,649.0,633.8,647.35,235880,EQ,12701.0,18.57,122529.0
2025-10-30,642.0,647.9,633.0,646.35,193033,EQ,6779.0,28.48,94743.0
2025-10-31,645.0,647.55,636.15,645.5,136622,EQ,4725.0,28.91,62013.0
2025-11-03,648.0,664.0,618.9,647.7,948918,EQ,34073.0,27.85,375316.0
2025-11-04,643.0,644.45,630.0,632.15,122267,EQ,7006.0,17.45,58708.0
2025-11-06,627.6,634.95,623.1,626.7,155243,EQ,5592.0,27.76,72265.0
2025-11-07,621.2,638.05,606.5,631.9,431517,EQ,23017.0,18.75,187300.0
2025-11-10,626.0,656.0,620.0,624.75,749115,EQ,27274.0,27.47,174695.0
2025-11-11,624.3,633.0,620.3,622.5,225361,EQ,11811.0,19.08,127682.0
2025-11-12,626.15,626.95,598.0,612.55,540725,EQ,14905.0,36.28,321629.0
2025-11-13,608.0,625.0,605.2,623.45,141017,EQ,9121.0,15.46,75744.0
2025-11-14,623.45,623.45,612.6,621.7,71010,EQ,4957.0,14.33,37499.0
